2024-12-13 10:09:00,000 INFO    StreamThr :6532 [internal.py:wandb_internal():86] W&B internal server running at pid: 6532, started at: 2024-12-13 10:08:59.999754
2024-12-13 10:09:00,001 DEBUG   HandlerThread:6532 [handler.py:handle_request():146] handle_request: status
2024-12-13 10:09:00,015 INFO    WriterThread:6532 [datastore.py:open_for_write():87] open: .\wandb\offline-run-20241213_100859-bmolwfyz\run-bmolwfyz.wandb
2024-12-13 10:09:00,031 DEBUG   HandlerThread:6532 [handler.py:handle_request():146] handle_request: run_start
2024-12-13 10:09:00,127 DEBUG   HandlerThread:6532 [system_info.py:__init__():26] System info init
2024-12-13 10:09:00,127 DEBUG   HandlerThread:6532 [system_info.py:__init__():41] System info init done
2024-12-13 10:09:00,127 INFO    HandlerThread:6532 [system_monitor.py:start():194] Starting system monitor
2024-12-13 10:09:00,128 INFO    SystemMonitor:6532 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-12-13 10:09:00,128 INFO    HandlerThread:6532 [system_monitor.py:probe():214] Collecting system info
2024-12-13 10:09:00,133 INFO    SystemMonitor:6532 [interfaces.py:start():190] Started cpu monitoring
2024-12-13 10:09:00,133 INFO    SystemMonitor:6532 [interfaces.py:start():190] Started disk monitoring
2024-12-13 10:09:00,134 INFO    SystemMonitor:6532 [interfaces.py:start():190] Started gpu monitoring
2024-12-13 10:09:00,135 INFO    SystemMonitor:6532 [interfaces.py:start():190] Started memory monitoring
2024-12-13 10:09:00,163 INFO    SystemMonitor:6532 [interfaces.py:start():190] Started network monitoring
2024-12-13 10:09:00,193 DEBUG   HandlerThread:6532 [system_info.py:probe():150] Probing system
2024-12-13 10:09:00,194 DEBUG   HandlerThread:6532 [gitlib.py:_init_repo():56] git repository is invalid
2024-12-13 10:09:00,194 DEBUG   HandlerThread:6532 [system_info.py:probe():198] Probing system done
