nu,[0]2-2-2-Trifluoroethanol-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
500,0.953798352901383
500.135003,0.9120413044192277
500.270005,0.9102727491854542
500.405008,0.9721200246449307
500.540011,0.8723365305456271
500.675014,0.923024039367425
500.810016,0.927286221514831
500.945019,0.8302486871477026
501.080022,0.9392242597631925
501.215024,0.9173969696668155
501.350027,0.9452668598288947
501.48503,0.9365672029333861
501.620032,0.879510303230929
501.755035,0.894258853872692
501.890038,0.9494845695443244
502.025041,0.9022893709520771
502.160043,0.9148272768459484
502.295046,0.8599852852976285
502.430049,0.9540444646234786
502.565051,0.9664951485047473
502.700054,0.9081288546878545
502.835057,0.9368416573294512
502.970059,0.9513017206841963
503.105062,0.895440054981025
503.240065,0.908195150514015
503.375068,0.9330747158912768
503.51007,0.9481401026890087
503.645073,0.8383580520536701
503.780076,0.9676488652721297
503.915078,0.9410264795449061
504.050081,0.9220645933648822
504.185084,0.9003785436782373
504.320086,0.9491684438205203
504.455089,0.9489008160566512
504.590092,0.8590655931653971
504.725095,0.9407959562976685
504.860097,0.9011261680907016
504.9951,0.8996315395365875
505.130103,0.9431301395359887
505.265105,0.9157480561607957
505.400108,0.884865166339469
505.535111,0.9333304133923889
505.670113,0.9042494648197323
505.805116,0.8886427324510814
505.940119,0.8823557143755398
506.075122,0.8957893447095374
506.210124,0.9449899372101096
506.345127,0.9211798361066853
506.48013,0.9667571041833833
506.615132,0.9054284698273445
506.750135,0.886610068881846
506.885138,0.963319641134471
507.02014,0.9197328790105779
507.155143,0.9125859556401789
507.290146,0.9129200232305831
507.425149,0.9872085154571031
507.560151,0.8780427467752463
507.695154,0.930947867047112
507.830157,0.9323919551201733
507.965159,0.9211936539078601
508.100162,0.9200990055507726
508.235165,0.8920170787541957
508.370167,0.8838746721334638
508.50517,0.9267087021147997
508.640173,0.9627158290343544
508.775176,0.9422298801949888
508.910178,0.9438179320776318
509.045181,0.9205628523291396
509.180184,0.9070578946300241
509.315186,0.9747551185421037
509.450189,0.9718750812628826
509.585192,0.9557126370274976
509.720194,0.9082932408870553
509.855197,0.9589196430974888
509.9902,0.9248589866091038
510.125203,0.9345454664808631
510.260205,0.9211586492141051
510.395208,0.9226327601317931
510.530211,0.9105750099106877
510.665213,0.9650049964385757
510.800216,0.9256260125973472
510.935219,0.9034992491465049
511.070221,0.9687497077422937
511.205224,0.9118835349210183
511.340227,0.9722833545283972
511.47523,0.9020187247397531
511.610232,0.8970263873683525
511.745235,0.9726246858859855
511.880238,0.9335964504686883
512.01524,0.9592035253243425
512.150243,0.9184433985633784
512.285246,0.9175639511101453
512.420248,0.9333761477031266
512.555251,0.9186473156318167
512.690254,0.9520840121763534
512.825257,0.9340820468670535
512.960259,0.9766616521204272
513.095262,0.9147586673730723
513.230265,0.9366421313067158
513.365267,0.9674911513611232
513.50027,0.9382329624419874
513.635273,0.9156244385175926
513.770275,0.9138379690444389
513.905278,0.9357836241579943
514.040281,0.9380959904286712
514.175284,0.9646190716301076
514.310286,0.9262889981428686
514.445289,0.9410471823551863
514.580292,0.941659061863014
514.715294,0.9435961609227248
514.850297,0.9189532761275173
514.9853,0.923796010103143
515.120302,0.8932578446261714
515.255305,0.9211641761825812
515.390308,0.9375876801663835
515.525311,0.9435499258436083
515.660313,0.9413069472234191
515.795316,0.9311713213486469
515.930319,0.9676517682230799
516.065321,0.9379993715176164
516.200324,0.9075088144479482
516.335327,0.9433612347281801
516.470329,0.9522192177054478
516.605332,0.9441964789619727
516.740335,0.9214304311014806
516.875338,0.957111867903282
517.01034,0.9699022361871803
517.145343,0.9348483082697234
517.280346,0.9259268899413614
517.415348,0.9601670492718525
517.550351,0.9541188829939979
517.685354,0.9513911472489233
517.820356,0.9395013717918372
517.955359,0.9275245646995477
518.090362,0.9718362070371218
518.225365,0.9327873731318388
518.360367,0.9086293715665246
518.49537,0.9524011089460901
518.630373,0.925179968364571
518.765375,0.9457339370162168
518.900378,0.8960939648692313
519.035381,0.9335002949863824
519.170383,0.9484056190883229
519.305386,0.9117823214660927
519.440389,0.9494703273825976
