nu,[0]HFC-227ea-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
500,0.9799908932134823
500.120002,0.9241628299280714
500.240005,0.9670529771235146
500.360007,0.967909197830047
500.48001,0.9545903341610477
500.600012,0.9842178639336847
500.720014,0.9796802853342836
500.840017,0.9405325703056648
500.960019,0.93893971792275
501.080022,0.9268532799491075
501.200024,0.9516290247691865
501.320026,0.9602822762312444
501.440029,0.9264575980826597
501.560031,0.9364435842216134
501.680034,0.9355918081768517
501.800036,0.9303569028025424
501.920038,0.9394637924885566
502.040041,0.9443853371429536
502.160043,0.9308631546456835
502.280046,0.931497288352017
502.400048,0.9315345489887588
502.52005,0.9147367134285038
502.640053,0.9391819956224534
502.760055,0.953890875828904
502.880058,0.9315289597982325
503.00006,0.9331642953637482
503.120062,0.934916554687191
503.240065,0.9088992745684916
503.360067,0.938387783653189
503.48007,0.9435914429537151
503.600072,0.9456535530479374
503.720074,0.9192731275185237
503.840077,0.9374498649070688
503.960079,0.8911255075353486
504.080082,0.8826999002160226
504.200084,0.9160219057680639
504.320086,0.9014957055696253
504.440089,0.9231255775962556
504.560091,0.925090230260008
504.680094,0.9343174652043287
504.800096,0.8984537938116718
504.920098,0.9177208679617935
505.040101,0.9345473355736652
505.160103,0.9190010629403222
505.280106,0.905088092717596
505.400108,0.9309739339523243
505.52011,0.924877483973809
505.640113,0.952670676601946
505.760115,0.9251124326919624
505.880118,0.9096503355147534
506.00012,0.9178612899966034
506.120122,0.9350726987894935
506.240125,0.9330084699382076
506.360127,0.9194413698945675
506.48013,0.8979508005383987
506.600132,0.9099614891337354
506.720134,0.8960491612910867
506.840137,0.8840426242761175
506.960139,0.9235336892875927
507.080142,0.8796070546855169
507.200144,0.9038607211357418
507.320146,0.8642441232758937
507.440149,0.9063796690128442
507.560151,0.8901992187611638
507.680154,0.8771388283439737
507.800156,0.8928113273424817
507.920158,0.904898044173921
508.040161,0.8910274891206313
508.160163,0.8750274689776166
508.280166,0.9141341005171173
508.400168,0.8615863464535712
508.52017,0.8880919447188023
508.640173,0.8900924012640905
508.760175,0.8672309147539721
508.880178,0.8975737403903464
509.00018,0.9146397564756896
509.120182,0.8992717588817009
509.240185,0.8729822984828991
509.360187,0.8931863868569502
509.48019,0.8609576179344903
509.600192,0.884944807788251
509.720194,0.8492259427370205
509.840197,0.8796598326921224
509.960199,0.886991393190316
510.080202,0.8878788282270718
510.200204,0.8720487069840467
510.320206,0.8677947980907932
510.440209,0.8660263011828488
510.560211,0.8726069967901982
510.680214,0.8577436503091816
510.800216,0.8839630640201979
510.920218,0.8456582168506478
511.040221,0.8780866500101567
511.160223,0.8228017453279551
511.280226,0.8999104685456064
511.400228,0.8934722522367659
511.52023,0.8774897540557747
511.640233,0.8584730423596504
511.760235,0.8333762984358575
511.880238,0.8586275814153729
512.00024,0.838861217819537
512.120242,0.8379389778049361
512.240245,0.8702802437064009
512.360247,0.8694886489148849
512.48025,0.8711945178722307
512.600252,0.8483771412657526
512.720254,0.8446609286705089
512.840257,0.8639416907615246
512.960259,0.8677861201862019
513.080262,0.8540803525352391
513.200264,0.8667627364795157
513.320266,0.8564237416782092
513.440269,0.8484704678841617
513.560271,0.8623707468769064
513.680274,0.8654549124031069
513.800276,0.8636480005168364
513.920278,0.8638725781908033
514.040281,0.8506113097910991
514.160283,0.8219711350939508
514.280286,0.8533290924279365
514.400288,0.8506878682540595
514.52029,0.8462080733756118
514.640293,0.8427120137886023
514.760295,0.8603293482197445
514.880298,0.8584129513498951
515.0003,0.8579409540378118
515.120302,0.8424592381027144
515.240305,0.8400364459922514
515.360307,0.8208704314090958
515.48031,0.8271079999850139
515.600312,0.808641176396021
515.720314,0.8387773358919214
515.840317,0.8188453834073486
515.960319,0.8073564585468992
516.080322,0.8287307214124963
516.200324,0.8230157015948497
516.320326,0.8124751092635922
516.440329,0.8116630402565046
516.560331,0.7997868694468067
516.680334,0.8346356472155375
516.800336,0.812913964302791
516.920338,0.8242758794084881
517.040341,0.8174136571122824
517.160343,0.8264631072858744
517.280346,0.812401989794184
517.400348,0.8290374085130338
517.52035,0.8136133710138703
517.640353,0.8286064211270389
517.760355,0.8149487916879736
517.880358,0.8281342500485379
518.00036,0.8433695855790168
518.120362,0.8172011571876205
518.240365,0.8428974308267622
518.360367,0.847596993218916
518.48037,0.8313785935244035
518.600372,0.8465635554124317
518.720374,0.8413058591914659
518.840377,0.8368587334309918
518.960379,0.8585159670848775
519.080382,0.8651780111377032
519.200384,0.8480972229981892
519.320386,0.829900055916784
519.440389,0.8543537019816292
519.560391,0.8433021187108812
519.680394,0.8432009285281683
519.800396,0.8370428626058132
519.920398,0.8480972229981892
520.040401,0.8406667096460722
520.160403,0.829070570672613
520.280406,0.8736023360020946
520.400408,0.8585674795882623
520.52041,0.8688541538200635
520.640413,0.8530987246740273
520.760415,0.844432901004888
520.880418,0.8330596756045998
521.00042,0.8633112434685277
521.120422,0.8466228169354396
521.240425,0.8216834955365269
521.360427,0.8498970963025355
521.48043,0.8518455908277915
521.600432,0.8339181691187344
521.720434,0.8412133206366688
521.840437,0.8411544377651488
521.960439,0.8500925951161868
522.080442,0.8439432719284633
522.200444,0.8424086920648246
522.320446,0.8616208105967077
522.440449,0.8472241325772564
522.560451,0.852254574859704
522.680454,0.8688628424050445
522.800456,0.8471563573576951
522.920458,0.8139307421119072
523.040461,0.8461657640296855
523.160463,0.8484365297442137
523.280466,0.8557474340989509
523.400468,0.8562011004499868
523.52047,0.8358801812775156
523.640473,0.8507814490664177
523.760475,0.8622414009660607
523.880478,0.814443680037919
524.00048,0.8392723605380084
524.120482,0.8473258055734234
524.240485,0.8559100415586492
524.360487,0.8533888275551116
524.48049,0.8463350141069349
524.600492,0.8640885733336189
524.720494,0.863967609401025
524.840497,0.83921361352894
524.960499,0.853994948770245
525.080502,0.8568349237500174
525.200504,0.8498291072544295
525.320506,0.8618707168664383
525.440509,0.8309048427578898
525.560511,0.8617845341039617
