nu,[0]N-N-Diethylaniline-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
550,0.9073926607536938
550.119002,0.8992717588817009
550.238005,0.914380035666951
550.357007,0.885413952848838
550.47601,0.908071644372153
550.595012,0.9072184580868203
550.714014,0.8684372039022156
550.833017,0.9058749561127956
550.952019,0.9154733729484894
551.071021,0.8842459774644212
551.190024,0.9132450806156347
551.309026,0.8926238566488516
551.428029,0.9140573164776487
551.547031,0.8932846427634803
551.666033,0.9316612463026434
551.785036,0.9209643052431308
551.904038,0.9492396341234098
552.02304,0.8952430798369895
552.142043,0.8760868930373772
552.261045,0.8934543829704144
552.380048,0.9173465142210213
552.49905,0.9241785408297225
552.618052,0.9244012946988256
552.737055,0.872013825733397
552.856057,0.8639762491203176
552.97506,0.9306742086039624
553.094062,0.9176199242183254
553.213064,0.8863618528144303
553.332067,0.8909562097727136
553.451069,0.8905108430187941
553.570071,0.9073364041526998
553.689074,0.9222979052197087
553.808076,0.8970084470200093
553.927079,0.9298044349014885
554.046081,0.9171062009167129
554.165083,0.9152610077612796
554.284086,0.9094038536736269
554.403088,0.9185104473787256
554.52209,0.9186427224067215
554.641093,0.9113356575701659
554.760095,0.9031017969227819
554.879098,0.912712813904458
554.9981,0.8933918433525185
555.117102,0.9019285273772224
555.236105,0.9210610115721748
555.355107,0.912436303815239
555.474109,0.9305913822852225
555.593112,0.910541319258602
555.712114,0.9331530974593915
555.831117,0.8982292084375604
555.950119,0.9054157939174985
556.069121,0.9048699927693505
556.188124,0.9242173571435742
556.307126,0.8957087272963515
556.426129,0.9324189948789463
556.545131,0.9137310562565808
556.664133,0.9249662764742423
556.783136,0.9536285919037436
556.902138,0.9161290866009951
557.02114,0.9184287035865616
557.140143,0.9241304847950671
557.259145,0.9130542323381257
557.378148,0.9420763092408897
557.49715,0.9033818018783537
557.616152,0.9167531829896715
557.735155,0.9192069422360412
557.854157,0.9230046560661237
557.973159,0.9113064952957225
558.092162,0.9201947008234178
558.211164,0.9061929740312709
558.330167,0.9076712730653469
558.449169,0.9179613423299662
