nu,[0]Chlorobenzene-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
600,0.9945177825033068
600.119202,0.9945177825033068
600.238404,0.9964752266495774
600.357606,1.0001475508845612
600.476808,0.9964923661708753
600.59601,0.9954324630692669
600.715212,0.9969549456112715
600.834414,0.9985362722958897
600.953616,0.9955960260592809
601.072818,0.9955304184429582
601.19202,0.997733073368004
601.311222,0.9971218498386609
601.430424,0.9952654435152963
601.549626,0.9989290738511462
601.668828,0.997404274736013
601.78803,0.9981393331907482
601.907232,0.9957014652613477
602.026434,0.9978737636497806
602.145636,0.9954682992829853
602.264838,0.9971110809808346
602.38404,0.9968841643228985
602.503242,0.9979349351863808
602.622444,0.997786653072646
602.741646,0.9974877609676586
602.860848,0.9996857793776437
602.98005,0.9960727319674113
603.099252,0.9969772776521711
603.218454,0.99716033948491
603.337656,0.9978524093797301
603.456858,0.9979597840756343
603.57606,0.9983114272458716
603.695262,0.9983089314704232
603.814464,0.9983152208365029
603.933666,0.9973683688284328
604.052868,0.9987515799255252
604.17207,0.9993595851531815
604.291272,0.9972496890541288
604.410474,0.9973913085647218
604.529676,0.9967228815132423
604.648878,0.9966627809355376
604.76808,0.9990755475696802
604.887282,0.9936933707958396
605.006484,0.9996258500115707
605.125686,0.996378174689009
605.244888,0.995554908792482
605.36409,0.9934562044951547
605.483292,0.9984733664922887
605.602494,0.9971145708757253
605.721696,1.0003227320667913
605.840898,0.9951338781203278
605.9601,0.9976053717076935
606.079302,0.9995767495957342
606.198504,0.9975913055711189
606.317706,0.996833922627118
606.436908,0.9973041403736587
606.55611,0.9985258875726586
606.675312,0.9980595850440072
606.794514,0.9971449833339247
606.913716,0.99649266511863
607.032918,0.9989396625554491
607.15212,0.9956696033242531
607.271322,0.9976352005542466
607.390524,0.9965542502682958
607.509726,0.998222681304805
607.628928,0.9958100026362406
607.74813,0.9973055366004325
607.867332,0.9977583163340824
607.986534,0.9976830881931673
608.105736,0.9972225642314858
608.224938,0.9961931644407025
608.34414,0.9983025423137071
608.463342,0.9957255615283708
608.582544,0.9969112799409389
608.701746,0.9988363775342685
608.820948,0.9968697096073128
608.94015,0.9977047381510823
609.059352,0.9963384199929504
609.178554,0.9962843202855651
609.297756,0.997510603698933
609.416958,0.99460729313165
609.53616,0.995797355929514
609.655362,0.9987268111934766
609.774564,0.9972886822792835
609.893766,0.997235229038473
610.012968,0.998335187340584
610.13217,0.9974678114119354
610.251372,0.9968030212544904
610.370574,1.0000926362904763
610.489776,1.0005816791097182
610.608978,0.9953629843081816
610.72818,0.9966424492221907
610.847382,0.9980225577202632
610.966584,0.9974313047581136
611.085786,0.9971960384640716
611.204988,0.9968617346815357
611.32419,0.9975473127645917
611.443392,0.9947439615626325
611.562594,0.9996341769295829
611.681796,0.9962243457747348
611.800998,0.9954601364763987
611.9202,0.9949819327784609
612.039402,0.994977355872097
612.158604,0.9975323496671238
612.277806,0.9961603902247311
612.397008,0.9981668822165191
612.51621,0.996305142845454
612.635412,0.9960323918386598
612.754614,0.9950935760143871
612.873816,0.9970043958029284
612.993018,0.9982055120223428
613.11222,0.9977288828978959
613.231422,0.9961147671236359
613.350624,0.9956166351103232
613.469826,0.9961896777707286
613.589028,0.996879179914538
613.70823,0.9940135903845155
613.827432,0.9955898533830546
613.946634,0.9946433980316906
614.065836,0.9966887941735914
614.185038,0.9995597169530396
614.30424,0.9990366842867755
614.423442,0.9960584882291872
614.542644,0.9952133924937465
614.661846,0.996383455507329
614.781048,0.997286388517952
614.90025,0.9956463049281276
615.019452,0.9953548223651743
615.138654,0.9967870725337404
615.257856,0.996306238781714
615.377058,0.9971223483997105
615.49626,0.996365819676244
615.615462,1.0007805644820205
615.734664,0.9995002749041992
615.853866,0.9947176011969274
615.973068,0.9955686475450205
616.09227,0.998370728705886
616.211472,0.9949417363203507
616.330674,0.9990172931729249
616.449876,0.9967033459362139
616.569078,0.9987560743177473
616.68828,0.9974768884103196
616.807482,0.9976941625369088
616.926684,0.9966705549355475
617.045886,0.9972171792441784
617.165088,0.9963804663614462
617.28429,0.9955591896877938
617.403492,0.9970852561382703
617.522694,0.9963184934238168
617.641896,0.998119969475513
617.761098,0.9940977869012932
617.8803,0.9970355028253445
617.999502,0.9938023849379323
618.118704,0.9964113546346691
618.237906,0.9982762873020992
618.357108,0.9965297353352741
618.47631,0.9967416200795567
618.595512,0.9960302005698081
618.714714,0.9964360659426831
618.833916,0.996483896021761
618.953118,0.9980618805836926
619.07232,0.9959601821078858
619.191522,0.9968402027006128
619.310724,0.9947751970134195
619.429926,0.9938253420381779
619.549128,0.9973951983984104
619.66833,0.9936761800492252
619.787532,0.9973315666146281
619.906734,0.9976178418527781
620.025936,0.9947510242698321
620.145138,0.9954682992829853
620.26434,0.993119479919871
