nu,[0]Guaiacol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
520,0.6673971386386637
520.134603,0.6525288018455497
520.269205,0.5916204390359366
520.403808,0.6272626039222879
520.538411,0.5864311553270545
520.673013,0.5051297257612212
520.807616,0.660921635910777
520.942219,0.6808998818592411
521.076822,0.5831329931710534
521.211424,0.7185284340958209
521.346027,0.5987925907561138
521.48063,0.7058235513445001
521.615232,0.6967699361282514
521.749835,0.6245274470137429
521.884438,0.681771991739272
522.01904,0.5999193796764435
522.153643,0.6185854127990934
522.288246,0.6458810017404516
522.422848,0.5464568125578145
522.557451,0.7031394800166104
522.692054,0.6059304914918059
522.826657,0.5769555799074381
522.961259,0.6213318249892908
523.095862,0.5367783638127245
523.230465,0.5841017978251104
523.365067,0.5733665863941357
523.49967,0.5909227386420631
523.634273,0.6505936664026707
523.768875,0.4964363505443763
523.903478,0.6210709204165908
524.038081,0.578359286779734
524.172683,0.5246887758895373
524.307286,0.5914429795244834
524.441889,0.541761181058331
524.576492,0.5906037265042255
524.711094,0.6071557081368164
524.845697,0.5804741554638843
524.9803,0.527234425066406
525.114902,0.5594841950365094
525.249505,0.49332356587012294
525.384108,0.6706888234654558
525.51871,0.5562541415757315
525.653313,0.6153340425592192
525.787916,0.6126080156682696
525.922518,0.563189003142055
526.057121,0.5893588664305329
526.191724,0.5334766376077594
526.326327,0.5689117235714017
526.460929,0.5753078443339243
526.595532,0.5130971887503586
526.730135,0.6287509793217609
526.864737,0.5582770134007493
526.99934,0.5972078910451065
527.133943,0.5751755387454534
527.268545,0.5753481172925647
527.403148,0.4815958510278642
527.537751,0.5599487596860493
527.672353,0.5030931183861004
527.806956,0.6112189726330143
527.941559,0.5108751722148144
528.076162,0.5606098892121862
528.210764,0.5779199007096372
528.345367,0.5328102084157693
528.47997,0.5708436070066154
528.614572,0.5831329931710534
528.749175,0.5374390074127375
528.883778,0.4874878070677968
529.01838,0.5556870516163702
529.152983,0.5562318918550658
529.287586,0.5633805199591372
529.422188,0.5326610424416238
529.556791,0.5513309582311736
529.691394,0.5197434263703976
529.825997,0.5163967053834929
529.960599,0.5537621591671136
530.095202,0.616528949286547
530.229805,0.5479835558814271
530.364407,0.5272555148652018
530.49901,0.5989902249189065
