nu,[0]Valericacid-HITRAN(x-sec)-X=0.01-T=340.1K-P=1.0atm-L=15cm
520,0.997748139251159
520.131603,0.9993294149427273
520.263205,0.9923618202924865
520.394808,0.9995691628369966
520.526411,1.0
520.658013,0.9982948554137259
520.789616,0.9993065605403486
520.921218,0.9887804143191636
521.052821,0.9990155648745026
521.184424,0.9997869626956699
521.316026,1.0
521.447629,0.999709862098144
521.579232,0.9887774479823702
521.710834,1.0
521.842437,1.0
521.974039,0.9986605978008927
522.105642,0.9994633240620766
522.237245,0.9842227850353071
522.368847,0.9933361029003189
522.50045,0.999735604958531
522.632053,0.9960483284844219
522.763655,0.9473184214702564
522.895258,1.0
523.026861,1.0
523.158463,0.9955908489734058
523.290066,0.9607414008813324
523.421668,0.9365194392240215
523.553271,0.8904485094414836
523.684874,0.9123943327106063
523.816476,0.9437009059098265
523.948079,0.8246881203998518
524.079682,0.8235590712501644
524.211284,0.9170254991219633
524.342887,0.9431650359967321
524.474489,0.9504421325210866
524.606092,0.9998918858447565
524.737695,0.9916740542841133
524.869297,0.954771723555985
525.0009,0.9246361224495409
525.132503,0.9188714929253484
525.264105,1.0
525.395708,0.9263047451896865
525.527311,0.9994069159439186
525.658913,0.881561951479484
525.790516,0.8102033608895866
525.922118,0.9110012587497744
526.053721,0.9021901245799229
526.185324,0.7120479673256578
526.316926,0.985925978216839
526.448529,0.9373458137470103
526.580132,0.8530901937294353
526.711734,0.9246314992804866
526.843337,0.8267937586546538
526.974939,0.8984807478297944
527.106542,0.839247182744861
527.238145,0.9033547008308151
527.369747,0.8491155505401129
527.50135,0.8075421718885807
527.632953,0.7964268445416443
527.764555,0.8583786155185623
527.896158,0.9056847423451565
528.027761,0.7932633652001552
528.159363,0.9338168052318383
528.290966,0.8595296138600182
528.422568,0.7841538818671041
528.554171,0.8708374013337961
528.685774,0.8404733785367834
528.817376,0.8864770873453783
528.948979,0.5683146797645038
529.080582,0.7802116889734164
529.212184,0.8810860365342851
529.343787,0.7299567450145343
529.47539,0.7966897087705553
529.606992,0.8058158794324778
529.738595,0.819115646974909
529.870197,0.7327065487672093
530.0018,0.8059689989954678
530.133403,0.9025871755795521
530.265005,0.7533389648102649
530.396608,0.7236191940781421
530.528211,0.7301903685507112
530.659813,0.7210765322252308
530.791416,0.8276292421990619
530.923018,0.7501140630115368
531.054621,0.8398852530397467
531.186224,0.8270418339916902
531.317826,0.6968605221079092
531.449429,0.7525107475519774
531.581032,0.749079619534746
531.712634,0.6711316241971108
531.844237,0.7862503702982737
531.97584,0.7337477311309838
532.107442,0.7814532123083775
532.239045,0.7519240180231503
532.370647,0.7135234331983482
532.50225,0.7249228815942518
532.633853,0.6820583961165116
532.765455,0.7754358659835737
532.897058,0.8183296732815487
533.028661,0.7968012531377067
533.160263,0.632503199433734
533.291866,0.7377870840531275
533.423468,0.7671829341425956
533.555071,0.7252636754288787
533.686674,0.6815197827638663
533.818276,0.7616942884927193
533.949879,0.7629826401908184
534.081482,0.7580924007829478
534.213084,0.6973136286909657
534.344687,0.7367917434956993
534.47629,0.7587142914919339
534.607892,0.6364496300098882
534.739495,0.7455001079315177
534.871097,0.6936692618565248
535.0027,0.7564339950423423
535.134303,0.7414185265315175
535.265905,0.7296575240935588
535.397508,0.6998284817737614
