nu,[0]Benzylalcohol-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
600,0.8515900754797617
600.119202,0.8611039931710818
600.238404,0.8537814767181707
600.357606,0.8612417808327082
600.476808,0.8592116467304365
600.59601,0.8597703158486049
600.715212,0.8586876874497587
600.834414,0.8615949623601152
600.953616,0.8674304008043818
601.072818,0.8656713031789276
601.19202,0.870088803112023
601.311222,0.8719963856312839
601.430424,0.8782535023241266
601.549626,0.8742053296228114
601.668828,0.8772177743910435
601.78803,0.8774634297580195
601.907232,0.8791761528083025
602.026434,0.8805399325013775
602.145636,0.884086827512403
602.264838,0.8830972045578922
602.38404,0.8856707601304201
602.503242,0.8905375587448187
602.622444,0.8911789766698587
602.741646,0.8894962390918727
602.860848,0.889282785609933
602.98005,0.8950909014489467
603.099252,0.8964614387218198
603.218454,0.9008558707868972
603.337656,0.895610204755188
603.456858,0.900468586034648
603.57606,0.8999374662646266
603.695262,0.9031740479565386
603.814464,0.9022803481034818
603.933666,0.9072474895419799
604.052868,0.9070497311457081
604.17207,0.9088556484503475
604.291272,0.9092883667177872
604.410474,0.9089874420741796
604.529676,0.9130706674622234
604.648878,0.9143608338878214
604.76808,0.9153424696159691
604.887282,0.913866298460583
605.006484,0.921532715556015
605.125686,0.9140975358843941
605.244888,0.9257833823955426
605.36409,0.9202747612449672
605.483292,0.920282123472506
605.602494,0.9217677363623611
605.721696,0.9248062711492719
605.840898,0.925139261341524
605.9601,0.9220590609939192
606.079302,0.9290450949107978
606.198504,0.9247489349379016
606.317706,0.9341474348988886
606.436908,0.9259796692782849
606.55611,0.9351811735139655
606.675312,0.9300080843715349
606.794514,0.9325448799403054
606.913716,0.9356872434083998
607.032918,0.9353242671798994
607.15212,0.934680985398387
607.271322,0.9371274376142147
607.390524,0.939390517170517
607.509726,0.9364463935565801
607.628928,0.9406341533086413
607.74813,0.9368135525013058
607.867332,0.9457878453870007
607.986534,0.938295826156382
608.105736,0.9482074230261434
608.224938,0.942658692337842
608.34414,0.9458701325089872
608.463342,0.9443097893379346
608.582544,0.9519088448340027
608.701746,0.9492833001508905
608.820948,0.9505124678412679
608.94015,0.9501228376091087
609.059352,0.9492291925448633
609.178554,0.9505381320243644
609.297756,0.9536676914775475
609.416958,0.9571511102943295
609.53616,0.9516176052894063
609.655362,0.9568640080287343
609.774564,0.9518488764658016
609.893766,0.9572391722472643
610.012968,0.9552969924396427
610.13217,0.9583463805734945
610.251372,0.9555692908831731
610.370574,0.9580282623856853
610.489776,0.9619411546402594
610.608978,0.9583597975167409
610.72818,0.9651188737467845
610.847382,0.9587729396151974
610.966584,0.9628515815365748
611.085786,0.9634670403153144
611.204988,0.9637368488580359
611.32419,0.9594318429320873
611.443392,0.9646885267036176
611.562594,0.9643557665663292
611.681796,0.9655117570747332
611.800998,0.965844916097551
611.9202,0.9659714500693539
612.039402,0.9685763170635366
612.158604,0.9603629433304185
612.277806,0.9677185384986353
612.397008,0.9668586190087576
612.51621,0.9703484938472192
