nu,[0]Methylchloride-PNNL(x-sec)-X=0.01-T=278.15K-P=1.0atm-L=15cm
600,1.000224925291901
600.118002,1.000637673227182
600.236005,0.9999860660970777
600.354007,0.9995266020881677
600.472009,1.000239218608209
600.590012,0.9997681168890454
600.708014,1.0002855607647148
600.826017,0.999853510730601
600.944019,0.9999507752115797
601.062021,0.9998561203516696
601.180024,1.0000119910718923
601.298026,0.9999686544912807
601.416028,1.000164483525932
601.534031,0.9996812808017583
601.652033,1.000096826687401
601.770035,0.9997992001629865
601.888038,0.9999284605590678
602.00604,0.9999420786775046
602.124042,0.9999769802649582
602.242045,1.0002916625252458
602.360047,0.9997239980955355
602.47805,1.0000412148493085
602.596052,0.9994174997191995
602.714054,1.0003498011661645
602.832057,0.9996823104740078
602.950059,1.0000828144289255
603.068061,1.0001299784464663
603.186064,1.0000018471017058
603.304066,0.9998540106574814
603.422068,1.0000366236706302
603.540071,0.9994017090474505
603.658073,1.0000662361935198
603.776076,1.000319350981671
603.894078,1.0003592345092676
604.01208,1.0003402678779854
604.130083,0.9998647491472213
604.248085,0.9998236455522741
604.366087,0.9999619037256815
604.48409,1.0000572926411606
604.602092,0.9999825211527569
604.720094,1.0000945594704649
604.838097,0.9999196122312699
604.956099,0.9996314579283194
605.074101,0.999942403658733
605.192104,0.9999105500008898
605.310106,0.9998203361414845
605.428109,0.9997429430448022
605.546111,1.0001371394027483
605.664113,0.999867078834801
605.782116,1.0000268073593108
605.900118,1.0001218174191393
606.01812,0.9999812821751807
606.136123,1.000146590743373
606.254125,1.0000399987999307
606.372127,0.9998856265411428
606.49013,0.9998537107013231
606.608132,0.999913713722875
606.726135,0.9999958303086932
606.844137,0.9999314613488807
606.962139,0.9998801771793276
607.080142,0.999819986204428
607.198144,1.0002921726741238
607.316146,1.0000652761303939
607.434149,0.9998594598766886
607.552151,1.0000083688350185
607.670153,0.9997758351287002
607.788156,1.0001200372038888
607.906158,0.9998769275740325
608.02416,1.0001635533733948
608.142163,1.000046685089715
608.260165,0.9999337331957416
608.378168,1.0001977995597537
608.49617,0.9998838167497967
608.614172,0.9999711014175721
608.732175,1.0004171869983003
608.850177,0.9999510861963191
608.968179,0.9999138567105462
609.086182,0.9997516208512094
609.204184,0.9999428626324016
609.322186,0.9994363489109914
609.440189,0.9998115677555859
609.558191,0.9996462026010656
609.676194,1.0000872438055195
609.794196,0.9997955009127895
609.912198,0.999882116948753
