2024-12-12 17:30:34,255 INFO    MainThread:1404 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-12-12 17:30:34,256 INFO    MainThread:1404 [wandb_setup.py:_flush():76] Configure stats pid to 1404
2024-12-12 17:30:34,256 INFO    MainThread:1404 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Raytine\.config\wandb\settings
2024-12-12 17:30:34,256 INFO    MainThread:1404 [wandb_setup.py:_flush():76] Loading settings from f:\Code\Knowledge_graph_with_LLM_encoding-main\wandb\settings
2024-12-12 17:30:34,256 INFO    MainThread:1404 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'mode': 'dryrun'}
2024-12-12 17:30:34,256 INFO    MainThread:1404 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-12-12 17:30:34,256 INFO    MainThread:1404 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-12-12 17:30:34,256 INFO    MainThread:1404 [wandb_init.py:_log_setup():521] Logging user logs to .\wandb\offline-run-20241212_173034-eyd12ovy\logs\debug.log
2024-12-12 17:30:34,257 INFO    MainThread:1404 [wandb_init.py:_log_setup():522] Logging internal logs to .\wandb\offline-run-20241212_173034-eyd12ovy\logs\debug-internal.log
2024-12-12 17:30:34,257 INFO    MainThread:1404 [wandb_init.py:_jupyter_setup():467] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001F08FD06E10>
2024-12-12 17:30:34,257 INFO    MainThread:1404 [wandb_init.py:init():561] calling init triggers
2024-12-12 17:30:34,257 INFO    MainThread:1404 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {}
2024-12-12 17:30:34,257 INFO    MainThread:1404 [wandb_init.py:init():611] starting backend
2024-12-12 17:30:34,257 INFO    MainThread:1404 [wandb_init.py:init():615] setting up manager
2024-12-12 17:30:34,263 INFO    MainThread:1404 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-12-12 17:30:34,265 INFO    MainThread:1404 [wandb_init.py:init():623] backend started and connected
2024-12-12 17:30:34,277 INFO    MainThread:1404 [wandb_run.py:_label_probe_notebook():1299] probe notebook
2024-12-12 17:30:34,280 INFO    MainThread:1404 [wandb_run.py:_label_probe_notebook():1309] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-12-12 17:30:34,280 INFO    MainThread:1404 [wandb_init.py:init():715] updated telemetry
2024-12-12 17:30:34,283 INFO    MainThread:1404 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-12-12 17:30:34,289 INFO    MainThread:1404 [wandb_init.py:init():799] starting run threads in backend
2024-12-12 17:30:42,640 INFO    MainThread:1404 [wandb_run.py:_console_start():2335] atexit reg
2024-12-12 17:30:42,640 INFO    MainThread:1404 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-12-12 17:30:42,640 INFO    MainThread:1404 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-12-12 17:30:42,640 INFO    MainThread:1404 [wandb_run.py:_redirect():2280] Redirects installed.
2024-12-12 17:30:42,641 INFO    MainThread:1404 [wandb_init.py:init():842] run started, returning control to user process
2024-12-12 17:30:47,022 INFO    MainThread:1404 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-12-12 17:30:47,022 INFO    MainThread:1404 [wandb_init.py:_pause_backend():432] pausing backend
