nu,[2]Diethylformamide-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
520,0.9888476536734495
520.119602,0.9872203620303679
520.239205,0.9877773113595002
520.358807,0.9898666914711075
520.47841,0.9905318082822423
520.598012,0.9894253093622382
520.717614,0.9896242038376452
520.837217,0.9905122949978257
520.956819,0.9886686884449764
521.076422,0.9925216034077492
521.196024,0.9898756003114205
521.315626,0.9898884687778694
521.435229,0.9897766177006023
521.554831,0.9899587533542256
521.674433,0.9878316406056655
521.794036,0.9900818128752582
521.913638,0.9906773280930474
522.033241,0.9921975980009975
522.152843,0.9881655841334672
522.272445,0.9924551066879859
522.392048,0.9899557834824203
522.51165,0.9895410788958192
522.631253,0.9903256010266782
522.750855,0.9880628202565316
522.870457,0.9898478841826394
522.99006,0.9894213516689161
523.109662,0.9878751061540872
523.229265,0.9869173318967301
523.348867,0.9901285458397152
523.468469,0.987534348026621
523.588072,0.9922129771829549
523.707674,0.9900624074618996
523.827277,0.9910042064592072
523.946879,0.9867683186303985
524.066481,0.9934683247347829
524.186084,0.9901614186531228
524.305686,0.9900052825090597
524.425289,0.9886499039183495
524.544891,0.9823319432467471
524.664493,0.9899953825057348
524.784096,0.9754757288074044
524.903698,0.9908789514437945
525.0233,0.9915429636394194
525.142903,0.9805447445164075
525.262505,0.9925380794031161
525.382108,0.9215751070359272
525.50171,0.9790437000614431
525.621312,0.9688717778957274
525.740915,0.9910328468946261
525.860517,0.9986711836593344
525.98012,0.9884047491426264
526.099722,0.997884241379307
526.219324,0.9731734009319228
526.338927,0.94191616988055
526.458529,0.9935531705525801
526.578132,0.9889099530380403
526.697734,0.9728717639337843
526.817336,0.9957506541286867
526.936939,0.968551134406669
527.056541,0.9872065410420466
527.176144,0.9593867506951453
527.295746,0.9707541843010452
527.415348,0.9407225770749043
527.534951,0.9469651375905875
527.654553,0.9707202084991747
527.774155,0.9799605139666735
527.893758,0.9618074541121664
528.01336,0.9571022968324584
528.132963,0.9501019351366092
528.252565,0.9656266598104024
528.372167,0.9852784375895391
528.49177,0.9648390298527239
528.611372,0.9786922864556374
528.730975,0.9370037449563446
528.850577,0.9417127379592943
528.970179,0.9322437165845849
529.089782,0.9674776065798179
529.209384,0.9630942507101536
529.328987,0.9396695575895678
529.448589,0.9508661242553195
529.568191,0.9456166732785287
529.687794,0.938345557153028
529.807396,0.8978699886029419
529.926999,0.9762183483679306
530.046601,0.9187382662180439
530.166203,0.9597254739992865
530.285806,0.916117177000282
530.405408,0.9480348649784113
530.525011,0.9098213658541784
530.644613,0.934929643610579
530.764215,0.9499176332390549
530.883818,0.9226299922376645
531.00342,0.9535399085685355
531.123022,0.9146946365074627
531.242625,0.9344875264581005
531.362227,0.9245787967870629
531.48183,0.930027614746375
531.601432,0.9124153180215888
531.721034,0.9118233525937521
531.840637,0.9255241993357936
531.960239,0.8836360581863203
532.079842,0.8991458696479094
532.199444,0.9046112369552637
532.319046,0.9103128020675753
532.438649,0.9204634369096174
532.558251,0.9386439984898602
532.677854,0.908137027884326
532.797456,0.914655305483716
532.917058,0.9077139346177195
533.036661,0.9162601024277874
533.156263,0.9232105090561817
533.275866,0.9319473102138218
533.395468,0.9296380148026844
533.51507,0.9134670261355128
533.634673,0.9006486977624273
533.754275,0.8950103468928257
533.873877,0.9068220902333202
533.99348,0.8940084964452831
534.113082,0.9165221902938602
534.232685,0.9066915172538068
534.352287,0.9083250317068224
534.471889,0.9049233816738811
534.591492,0.887905464991468
534.711094,0.9229298957168174
534.830697,0.9201496123877532
534.950299,0.9307365658648838
535.069901,0.8805839605986958
535.189504,0.9254705204889336
535.309106,0.8866810005245844
535.428709,0.8999374662646266
535.548311,0.8929184711302615
535.667913,0.8650222931107413
535.787516,0.8920973639040611
535.907118,0.8927666878921101
536.026721,0.9104794045540162
536.146323,0.8923114929658578
536.265925,0.885750474085906
536.385528,0.9145894526724507
536.50513,0.9018112842896292
536.624732,0.8931953187654783
536.744335,0.9075632666103636
536.863937,0.8900033964742777
536.98354,0.9053143930271356
537.103142,0.8978610099479492
537.222744,0.8770862015930915
537.342347,0.9126443630103558
537.461949,0.9006757176286562
537.581552,0.8690192517931
537.701154,0.9037613019245737
537.820756,0.9087520448119437
537.940359,0.8674737734087282
538.059961,0.8908938450208213
538.179564,0.910327367188929
538.299166,0.9177704262267247
538.418768,0.8890427116692589
538.538371,0.8996585288876118
538.657973,0.8992807516442535
538.777576,0.8855467749031702
538.897178,0.8792201127149315
539.01678,0.8781832448542769
539.136383,0.9134314016161761
539.255985,0.8764198693182179
539.375588,0.8909740290751015
539.49519,0.889140511746448
539.614792,0.8947866222728452
539.734395,0.8866544004935711
539.853997,0.8834240109790382
539.973599,0.891499858856788
540.093202,0.8978520313827426
540.212804,0.9148510626643607
540.332407,0.9147760479528674
540.452009,0.8935347974834805
540.571611,0.9102927754062239
540.691214,0.8936777744889333
540.810816,0.8968200950237868
540.930419,0.8955743810634765
541.050021,0.8902971460611303
541.169623,0.8888826983827862
541.289226,0.8893895059472984
541.408828,0.8839984232499385
541.528431,0.9102008404786999
541.648033,0.8710202963913851
541.767635,0.8961387706876109
541.887238,0.8830795427904193
542.00684,0.9012523345856829
542.126443,0.8849182598422386
542.246045,0.8924185767699133
542.365647,0.8964524741522555
542.48525,0.8993257168059553
542.604852,0.9060217197432189
542.724454,0.9022983938909012
542.844057,0.9017030734282959
542.963659,0.8839630640201979
543.083262,0.9033276005962958
543.202864,0.9049098079249595
543.322466,0.8961835787463374
543.442069,0.9033908357415418
543.561671,0.8953326086213378
543.681274,0.8965331585056706
543.800876,0.8973314281940595
543.920478,0.9066108252996163
544.040081,0.9032372723527236
544.159683,0.8882340507981404
544.279286,0.897259644551188
544.398888,0.89816633459358
544.51849,0.8917405963167738
544.638093,0.902894107394701
544.757695,0.8930792109212121
544.877298,0.9081252221797008
544.9969,0.8994786151738053
545.116502,0.8949834969851695
545.236105,0.895959560855054
545.355707,0.8972686171924967
545.47531,0.9053922534128844
545.594912,0.9013514777952638
545.714514,0.9130898421475736
545.834117,0.8983729366088574
545.953719,0.906109608112551
546.073321,0.8995595718921687
546.192924,0.908433128817246
546.312526,0.907012542869096
546.432129,0.9087329612193812
546.551731,0.9082460108665203
546.671333,0.895269937532248
546.790936,0.9127137266177283
546.910538,0.8997664943888788
547.030141,0.9069944027996399
547.149743,0.8862111841066548
547.269345,0.9092929131709869
547.388948,0.8979777394664967
547.50855,0.915927560370641
547.628153,0.9004235637309131
547.747755,0.9080780008959115
547.867357,0.901639956422277
547.98696,0.9100970834971456
548.106562,0.9145172029595908
548.226165,0.8968559685450535
548.345767,0.9154999220612652
548.465369,0.9185030993245388
548.584972,0.9171309631184259
548.704574,0.9155347117193028
548.824176,0.9050093534787362
548.943779,0.9083368400089884
549.063381,0.9151731469219223
549.182984,0.9134167868306688
549.302586,0.9091428922173828
549.422188,0.9141788941854786
549.541791,0.914907785188626
549.661393,0.9239022527531402
549.780996,0.908782942906732
549.900598,0.9129355430028957
550.0202,0.9212176052542279
