nu,[0]3-3-4-4-5-5-6-6-7-7-7-Undecafluoroheptan-1-ol-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
607.772182,1.0
607.832447,1.0
607.892712,1.0
607.952977,1.0
608.013241,1.0
608.073506,1.0
608.133771,1.0
608.194036,1.0
608.254301,1.0
608.314566,1.0
608.374831,1.0
608.435096,1.0
608.495361,1.0
608.555626,1.0
608.615891,1.0
608.676156,1.0
608.736421,1.0
608.796686,1.0
608.856951,1.0
608.917216,1.0
608.977481,1.0
609.037746,1.0
609.098011,1.0
609.158276,1.0
609.218541,1.0
609.278806,1.0
609.339071,1.0
609.399336,1.0
609.459601,1.0
609.519866,1.0
609.580131,1.0
609.640396,1.0
609.700661,1.0
609.760926,1.0
609.821191,1.0
609.881456,1.0
609.941721,1.0
610.001986,1.0
610.062251,1.0
610.122516,1.0
610.182781,1.0
610.243045,1.0
610.30331,1.0
610.363575,1.0
610.42384,1.0
610.484105,1.0
610.54437,1.0
610.604635,1.0
610.6649,1.0
610.725165,1.0
610.78543,1.0
610.845695,1.0
610.90596,1.0
610.966225,1.0
611.02649,1.0
611.086755,1.0
611.14702,1.0
611.207285,1.0
611.26755,1.0
611.327815,1.0
611.38808,1.0
611.448345,1.0
611.50861,1.0
611.568875,1.0
611.62914,1.0
611.689405,1.0
611.74967,1.0
611.809935,1.0
611.8702,1.0
611.930465,1.0
611.99073,1.0
612.050995,1.0
612.11126,1.0
612.171525,1.0
612.23179,1.0
612.292055,1.0
612.35232,1.0
612.412585,1.0
612.47285,1.0
612.533114,1.0
612.593379,1.0
612.653644,1.0
612.713909,1.0
612.774174,1.0
612.834439,1.0
612.894704,1.0
612.954969,1.0
613.015234,1.0
613.075499,1.0
613.135764,1.0
613.196029,1.0
613.256294,1.0
613.316559,1.0
613.376824,1.0
613.437089,1.0
613.497354,1.0
613.557619,1.0
613.617884,1.0
613.678149,1.0
613.738414,1.0
613.798679,1.0
613.858944,1.0
613.919209,1.0
613.979474,1.0
614.039739,1.0
614.100004,1.0
614.160269,1.0
614.220534,1.0
614.280799,1.0
614.341064,1.0
614.401329,1.0
614.461594,1.0
614.521859,1.0
614.582124,1.0
614.642389,1.0
614.702654,1.0
614.762919,1.0
614.823183,1.0
614.883448,1.0
614.943713,1.0
615.003978,1.0
615.064243,1.0
615.124508,1.0
615.184773,1.0
615.245038,1.0
615.305303,1.0
615.365568,1.0
615.425833,1.0
615.486098,1.0
615.546363,1.0
615.606628,1.0
615.666893,1.0
615.727158,1.0
615.787423,1.0
615.847688,1.0
615.907953,1.0
615.968218,1.0
616.028483,1.0
616.088748,1.0
616.149013,1.0
616.209278,1.0
616.269543,1.0
616.329808,1.0
616.390073,1.0
616.450338,1.0
616.510603,1.0
616.570868,1.0
616.631133,1.0
616.691398,1.0
616.751663,1.0
616.811928,1.0
616.872193,1.0
616.932458,1.0
616.992723,1.0
617.052988,1.0
617.113252,1.0
617.173517,1.0
617.233782,1.0
617.294047,1.0
617.354312,1.0
617.414577,1.0
617.474842,1.0
617.535107,1.0
617.595372,1.0
617.655637,1.0
617.715902,1.0
617.776167,1.0
617.836432,1.0
617.896697,1.0
617.956962,1.0
618.017227,1.0
618.077492,1.0
618.137757,1.0
618.198022,1.0
618.258287,1.0
618.318552,1.0
618.378817,1.0
618.439082,1.0
618.499347,1.0
618.559612,1.0
618.619877,1.0
618.680142,1.0
618.740407,1.0
618.800672,1.0
618.860937,1.0
618.921202,1.0
618.981467,1.0
619.041732,1.0
619.101997,1.0
619.162262,1.0
619.222527,1.0
619.282792,1.0
619.343057,1.0
619.403321,1.0
619.463586,1.0
619.523851,1.0
619.584116,1.0
619.644381,1.0
619.704646,1.0
619.764911,1.0
619.825176,1.0
619.885441,1.0
619.945706,1.0
620.005971,1.0
620.066236,1.0
620.126501,1.0
620.186766,1.0
620.247031,1.0
620.307296,1.0
620.367561,1.0
620.427826,1.0
620.488091,1.0
620.548356,1.0
620.608621,1.0
620.668886,1.0
620.729151,1.0
620.789416,1.0
620.849681,1.0
620.909946,1.0
620.970211,1.0
621.030476,1.0
621.090741,1.0
621.151006,1.0
621.211271,1.0
621.271536,1.0
621.331801,1.0
621.392066,1.0
621.452331,1.0
621.512596,1.0
621.572861,1.0
621.633125,1.0
621.69339,1.0
621.753655,1.0
621.81392,1.0
621.874185,1.0
621.93445,1.0
621.994715,1.0
622.05498,1.0
622.115245,1.0
622.17551,1.0
622.235775,1.0
622.29604,1.0
622.356305,1.0
622.41657,1.0
622.476835,1.0
622.5371,1.0
622.597365,1.0
622.65763,1.0
622.717895,1.0
622.77816,1.0
622.838425,1.0
622.89869,1.0
622.958955,1.0
623.01922,1.0
623.079485,1.0
623.13975,1.0
623.200015,1.0
623.26028,1.0
623.320545,1.0
623.38081,1.0
623.441075,1.0
623.50134,1.0
623.561605,1.0
623.62187,1.0
623.682135,1.0
623.7424,1.0
623.802665,1.0
623.86293,1.0
623.923194,1.0
623.983459,1.0
624.043724,1.0
624.103989,1.0
624.164254,1.0
624.224519,1.0
624.284784,1.0
624.345049,1.0
624.405314,1.0
624.465579,1.0
624.525844,1.0
624.586109,1.0
624.646374,1.0
624.706639,1.0
624.766904,1.0
624.827169,1.0
624.887434,1.0
624.947699,1.0
625.007964,1.0
625.068229,1.0
625.128494,1.0
625.188759,1.0
625.249024,1.0
625.309289,1.0
625.369554,1.0
625.429819,1.0
625.490084,1.0
625.550349,1.0
625.610614,1.0
625.670879,1.0
625.731144,1.0
625.791409,1.0
625.851674,1.0
625.911939,1.0
625.972204,1.0
626.032469,1.0
626.092734,1.0
626.152999,1.0
626.213263,1.0
626.273528,1.0
626.333793,1.0
626.394058,1.0
626.454323,1.0
626.514588,1.0
626.574853,1.0
626.635118,1.0
626.695383,1.0
626.755648,1.0
626.815913,1.0
626.876178,1.0
626.936443,1.0
626.996708,1.0
627.056973,1.0
627.117238,1.0
627.177503,1.0
627.237768,1.0
627.298033,1.0
627.358298,1.0
627.418563,1.0
627.478828,1.0
627.539093,1.0
627.599358,1.0
627.659623,1.0
627.719888,1.0
627.780153,1.0
627.840418,1.0
627.900683,1.0
627.960948,1.0
628.021213,1.0
628.081478,1.0
628.141743,1.0
628.202008,1.0
628.262273,1.0
628.322538,1.0
628.382803,1.0
628.443068,1.0
628.503332,1.0
628.563597,1.0
628.623862,1.0
628.684127,1.0
628.744392,1.0
628.804657,1.0
628.864922,1.0
628.925187,1.0
628.985452,1.0
629.045717,1.0
629.105982,1.0
629.166247,1.0
629.226512,1.0
629.286777,1.0
629.347042,1.0
629.407307,1.0
629.467572,1.0
629.527837,1.0
629.588102,1.0
629.648367,1.0
629.708632,1.0
629.768897,1.0
629.829162,1.0
629.889427,1.0
629.949692,1.0
630.009957,1.0
630.070222,1.0
630.130487,1.0
630.190752,1.0
630.251017,1.0
630.311282,1.0
630.371547,1.0
630.431812,1.0
630.492077,1.0
630.552342,1.0
630.612607,1.0
630.672872,1.0
630.733136,1.0
630.793401,1.0
630.853666,1.0
630.913931,1.0
630.974196,1.0
631.034461,1.0
631.094726,1.0
631.154991,1.0
631.215256,1.0
631.275521,1.0
631.335786,1.0
631.396051,1.0
631.456316,1.0
631.516581,1.0
631.576846,1.0
631.637111,1.0
631.697376,1.0
631.757641,1.0
631.817906,1.0
631.878171,1.0
631.938436,1.0
631.998701,1.0
632.058966,1.0
632.119231,1.0
632.179496,1.0
632.239761,1.0
632.300026,1.0
632.360291,1.0
632.420556,1.0
632.480821,1.0
632.541086,1.0
632.601351,1.0
632.661616,1.0
632.721881,1.0
632.782146,1.0
632.842411,1.0
632.902676,1.0
632.962941,1.0
633.023205,1.0
633.08347,1.0
633.143735,1.0
633.204,1.0
633.264265,1.0
633.32453,1.0
633.384795,1.0
633.44506,1.0
633.505325,1.0
633.56559,1.0
633.625855,1.0
633.68612,1.0
633.746385,1.0
633.80665,1.0
633.866915,1.0
633.92718,1.0
633.987445,1.0
634.04771,1.0
634.107975,1.0
634.16824,1.0
634.228505,1.0
634.28877,1.0
634.349035,1.0
634.4093,1.0
634.469565,1.0
634.52983,1.0
634.590095,1.0
634.65036,1.0
634.710625,1.0
634.77089,1.0
634.831155,1.0
634.89142,1.0
634.951685,1.0
635.01195,1.0
635.072215,1.0
635.13248,1.0
635.192745,1.0
635.25301,1.0
635.313274,1.0
635.373539,1.0
635.433804,1.0
635.494069,1.0
635.554334,1.0
635.614599,1.0
635.674864,1.0
635.735129,1.0
635.795394,1.0
635.855659,1.0
635.915924,1.0
635.976189,1.0
636.036454,1.0
636.096719,1.0
636.156984,1.0
636.217249,1.0
636.277514,1.0
636.337779,1.0
636.398044,1.0
636.458309,1.0
636.518574,1.0
636.578839,1.0
636.639104,1.0
636.699369,1.0
636.759634,1.0
636.819899,1.0
636.880164,1.0
636.940429,1.0
637.000694,1.0
637.060959,1.0
637.121224,1.0
637.181489,1.0
637.241754,1.0
637.302019,1.0
637.362284,1.0
637.422549,1.0
637.482814,1.0
637.543079,1.0
637.603343,1.0
637.663608,1.0
637.723873,1.0
637.784138,1.0
637.844403,1.0
637.904668,1.0
637.964933,1.0
638.025198,1.0
638.085463,1.0
638.145728,1.0
638.205993,1.0
638.266258,1.0
638.326523,1.0
638.386788,1.0
638.447053,1.0
638.507318,1.0
638.567583,1.0
638.627848,1.0
638.688113,1.0
638.748378,1.0
638.808643,1.0
638.868908,1.0
638.929173,1.0
638.989438,1.0
639.049703,1.0
639.109968,1.0
639.170233,1.0
639.230498,1.0
639.290763,1.0
639.351028,1.0
639.411293,1.0
639.471558,1.0
639.531823,1.0
639.592088,1.0
639.652353,1.0
639.712618,1.0
639.772883,1.0
639.833148,1.0
639.893412,1.0
639.953677,1.0
640.013942,1.0
640.074207,1.0
640.134472,1.0
640.194737,1.0
640.255002,1.0
640.315267,1.0
640.375532,1.0
640.435797,1.0
640.496062,1.0
640.556327,1.0
640.616592,1.0
640.676857,1.0
640.737122,1.0
640.797387,1.0
640.857652,1.0
640.917917,1.0
640.978182,1.0
641.038447,1.0
641.098712,1.0
641.158977,1.0
641.219242,1.0
641.279507,1.0
641.339772,1.0
641.400037,1.0
641.460302,1.0
641.520567,1.0
641.580832,1.0
641.641097,1.0
641.701362,1.0
641.761627,1.0
641.821892,1.0
641.882157,1.0
641.942422,1.0
642.002687,1.0
642.062952,1.0
642.123216,1.0
642.183481,1.0
642.243746,1.0
642.304011,1.0
642.364276,1.0
642.424541,1.0
642.484806,1.0
642.545071,1.0
642.605336,1.0
642.665601,1.0
642.725866,1.0
642.786131,1.0
642.846396,1.0
642.906661,1.0
642.966926,1.0
643.027191,1.0
643.087456,1.0
643.147721,1.0
643.207986,1.0
643.268251,1.0
643.328516,1.0
643.388781,1.0
643.449046,1.0
643.509311,1.0
643.569576,1.0
643.629841,1.0
643.690106,1.0
643.750371,1.0
643.810636,1.0
643.870901,1.0
643.931166,1.0
643.991431,1.0
644.051696,1.0
644.111961,1.0
644.172226,1.0
644.232491,1.0
644.292756,1.0
644.353021,1.0
644.413285,1.0
644.47355,1.0
644.533815,1.0
644.59408,1.0
644.654345,1.0
644.71461,1.0
644.774875,1.0
644.83514,1.0
644.895405,1.0
644.95567,1.0
645.015935,1.0
645.0762,1.0
645.136465,1.0
645.19673,1.0
645.256995,1.0
645.31726,1.0
645.377525,1.0
645.43779,1.0
645.498055,1.0
645.55832,1.0
645.618585,1.0
645.67885,1.0
645.739115,1.0
645.79938,1.0
645.859645,1.0
645.91991,1.0
645.980175,1.0
646.04044,1.0
646.100705,1.0
646.16097,1.0
646.221235,1.0
646.2815,1.0
646.341765,1.0
646.40203,1.0
646.462295,1.0
646.52256,1.0
646.582825,1.0
646.64309,1.0
646.703354,1.0
646.763619,1.0
646.823884,1.0
646.884149,1.0
646.944414,1.0
647.004679,1.0
647.064944,1.0
647.125209,1.0
647.185474,1.0
647.245739,1.0
647.306004,1.0
647.366269,1.0
647.426534,1.0
647.486799,1.0
647.547064,1.0
647.607329,1.0
647.667594,1.0
647.727859,1.0
647.788124,1.0
647.848389,1.0
647.908654,1.0
647.968919,1.0
648.029184,1.0
648.089449,1.0
648.149714,1.0
648.209979,1.0
648.270244,1.0
648.330509,1.0
648.390774,1.0
648.451039,1.0
648.511304,1.0
648.571569,1.0
648.631834,1.0
648.692099,1.0
648.752364,1.0
648.812629,1.0
648.872894,1.0
648.933159,1.0
648.993423,1.0
649.053688,1.0
649.113953,1.0
649.174218,1.0
649.234483,1.0
649.294748,1.0
649.355013,1.0
649.415278,1.0
649.475543,1.0
649.535808,1.0
649.596073,1.0
649.656338,1.0
649.716603,1.0
649.776868,1.0
649.837133,1.0
649.897398,1.0
649.957663,1.0
650.017928,1.0
650.078193,1.0
650.138458,1.0
650.198723,1.0
650.258988,1.0
650.319253,1.0
650.379518,1.0
650.439783,1.0
650.500048,1.0
650.560313,1.0
650.620578,1.0
650.680843,1.0
650.741108,1.0
650.801373,1.0
650.861638,1.0
650.921903,1.0
650.982168,1.0
651.042433,1.0
651.102698,1.0
651.162963,1.0
651.223227,1.0
651.283492,1.0
651.343757,1.0
651.404022,1.0
651.464287,1.0
651.524552,1.0
651.584817,1.0
651.645082,1.0
651.705347,1.0
651.765612,1.0
651.825877,1.0
651.886142,1.0
651.946407,1.0
652.006672,1.0
652.066937,1.0
652.127202,1.0
652.187467,1.0
652.247732,1.0
652.307997,1.0
652.368262,1.0
652.428527,1.0
652.488792,1.0
652.549057,1.0
652.609322,1.0
652.669587,1.0
652.729852,1.0
652.790117,1.0
652.850382,1.0
652.910647,1.0
652.970912,1.0
653.031177,1.0
653.091442,1.0
653.151707,1.0
653.211972,1.0
653.272237,1.0
653.332502,1.0
653.392767,1.0
653.453032,1.0
653.513296,1.0
653.573561,1.0
653.633826,1.0
653.694091,1.0
653.754356,1.0
653.814621,1.0
653.874886,1.0
653.935151,1.0
653.995416,1.0
654.055681,1.0
654.115946,1.0
654.176211,1.0
654.236476,1.0
654.296741,1.0
654.357006,1.0
654.417271,1.0
654.477536,1.0
654.537801,1.0
654.598066,1.0
654.658331,1.0
654.718596,1.0
654.778861,1.0
654.839126,1.0
654.899391,1.0
654.959656,1.0
655.019921,1.0
655.080186,1.0
655.140451,1.0
655.200716,1.0
655.260981,1.0
655.321246,1.0
655.381511,1.0
655.441776,1.0
655.502041,1.0
655.562306,1.0
655.622571,1.0
655.682836,1.0
655.743101,1.0
655.803365,1.0
655.86363,1.0
655.923895,1.0
655.98416,1.0
656.044425,1.0
656.10469,1.0
656.164955,1.0
656.22522,1.0
656.285485,1.0
656.34575,1.0
656.406015,1.0
656.46628,1.0
656.526545,1.0
656.58681,1.0
656.647075,1.0
656.70734,1.0
656.767605,1.0
656.82787,1.0
656.888135,1.0
656.9484,1.0
657.008665,1.0
657.06893,1.0
657.129195,1.0
657.18946,1.0
657.249725,1.0
657.30999,1.0
657.370255,1.0
657.43052,1.0
657.490785,1.0
657.55105,1.0
657.611315,1.0
657.67158,1.0
657.731845,1.0
657.79211,1.0
657.852375,1.0
657.91264,1.0
657.972905,1.0
658.03317,1.0
658.093434,1.0
658.153699,1.0
658.213964,1.0
658.274229,1.0
658.334494,1.0
658.394759,1.0
658.455024,1.0
658.515289,1.0
658.575554,1.0
658.635819,1.0
658.696084,1.0
658.756349,1.0
658.816614,1.0
658.876879,1.0
658.937144,1.0
658.997409,1.0
659.057674,1.0
659.117939,1.0
659.178204,1.0
659.238469,1.0
659.298734,1.0
659.358999,1.0
659.419264,1.0
659.479529,1.0
659.539794,1.0
659.600059,1.0
659.660324,1.0
659.720589,1.0
659.780854,1.0
659.841119,1.0
659.901384,1.0
659.961649,1.0
660.021914,1.0
660.082179,1.0
660.142444,1.0
660.202709,1.0
660.262974,1.0
660.323239,1.0
660.383503,1.0
660.443768,1.0
660.504033,1.0
660.564298,1.0
660.624563,1.0
660.684828,1.0
660.745093,1.0
660.805358,1.0
660.865623,1.0
660.925888,1.0
660.986153,1.0
661.046418,1.0
661.106683,1.0
661.166948,1.0
661.227213,1.0
661.287478,1.0
661.347743,1.0
661.408008,1.0
661.468273,1.0
661.528538,1.0
661.588803,1.0
661.649068,1.0
661.709333,1.0
661.769598,1.0
661.829863,1.0
661.890128,1.0
661.950393,1.0
662.010658,1.0
662.070923,1.0
662.131188,1.0
662.191453,1.0
662.251718,1.0
662.311983,1.0
662.372248,1.0
662.432513,1.0
662.492778,1.0
662.553043,1.0
662.613307,1.0
662.673572,1.0
662.733837,1.0
662.794102,1.0
662.854367,1.0
662.914632,1.0
662.974897,1.0
663.035162,1.0
663.095427,1.0
663.155692,1.0
663.215957,1.0
663.276222,1.0
663.336487,1.0
663.396752,1.0
663.457017,1.0
663.517282,1.0
663.577547,1.0
663.637812,1.0
663.698077,1.0
663.758342,1.0
663.818607,1.0
663.878872,1.0
663.939137,1.0
663.999402,1.0
664.059667,1.0
664.119932,1.0
664.180197,1.0
664.240462,1.0
664.300727,1.0
664.360992,1.0
664.421257,1.0
664.481522,1.0
664.541787,1.0
664.602052,1.0
664.662317,1.0
664.722582,1.0
664.782847,1.0
664.843112,1.0
664.903376,1.0
664.963641,1.0
665.023906,1.0
665.084171,1.0
665.144436,1.0
665.204701,1.0
665.264966,1.0
665.325231,1.0
665.385496,1.0
665.445761,1.0
665.506026,1.0
665.566291,1.0
665.626556,1.0
665.686821,1.0
665.747086,1.0
665.807351,1.0
665.867616,1.0
665.927881,1.0
665.988146,1.0
666.048411,1.0
666.108676,1.0
666.168941,1.0
666.229206,1.0
666.289471,1.0
666.349736,1.0
666.410001,1.0
666.470266,1.0
666.530531,1.0
666.590796,1.0
666.651061,1.0
666.711326,1.0
666.771591,1.0
666.831856,1.0
666.892121,1.0
666.952386,1.0
667.012651,1.0
667.072916,1.0
667.133181,1.0
667.193445,1.0
667.25371,1.0
667.313975,1.0
667.37424,1.0
667.434505,1.0
667.49477,1.0
667.555035,1.0
667.6153,1.0
667.675565,1.0
667.73583,1.0
667.796095,1.0
667.85636,1.0
667.916625,1.0
667.97689,1.0
668.037155,1.0
668.09742,1.0
668.157685,1.0
668.21795,1.0
668.278215,1.0
668.33848,1.0
668.398745,1.0
668.45901,1.0
668.519275,1.0
668.57954,1.0
668.639805,1.0
668.70007,1.0
668.760335,1.0
668.8206,1.0
668.880865,1.0
668.94113,1.0
669.001395,1.0
669.06166,1.0
669.121925,1.0
669.18219,1.0
669.242455,1.0
669.30272,1.0
669.362985,1.0
669.42325,1.0
669.483514,1.0
669.543779,1.0
669.604044,1.0
669.664309,1.0
669.724574,1.0
669.784839,1.0
669.845104,1.0
669.905369,1.0
669.965634,1.0
670.025899,1.0
670.086164,1.0
670.146429,1.0
670.206694,0.9892680032442174
670.266959,0.9551689912189292
670.327224,0.9551689912189292
670.387489,0.9801702479573989
670.447754,0.99292077659287
670.508019,0.9947523174470042
670.568284,1.0
670.628549,1.0
670.688814,1.0
670.749079,0.935930553720656
670.809344,0.872493565253825
670.869609,0.9070197989984635
670.929874,0.9910722907868608
670.990139,1.0
671.050404,0.9910689211468006
671.110669,0.9551365160253091
671.170934,0.9551365160253091
671.231199,0.9639778131895368
671.291464,0.9639778131895368
671.351729,0.9711270254887434
671.411994,0.9910553435955872
671.472259,0.9947216795474529
671.532524,0.971124112112037
671.592789,0.9604186459964934
671.653054,0.9729116524938154
671.713318,0.9783155624493766
671.773583,0.9586435140047747
671.833848,0.9480633064509806
671.894113,0.9711105164696372
671.954378,1.0
672.014643,0.9947011884919128
672.074908,0.9746966349895153
672.135173,0.9728980318260254
672.195438,0.9782989312261807
672.255703,0.9710969210175749
672.315968,0.9782959963337894
672.376233,1.0
672.436498,1.0
672.496763,1.0
672.557028,0.9782891482857833
672.617293,0.987361544636454
672.677558,1.0
672.737823,1.0
672.798088,0.9800869370270873
672.858353,0.9656971531295434
672.918618,0.9910044046600683
672.978883,1.0
673.039148,0.9746664198621676
673.099413,0.9568391298879428
673.159678,0.9728620352647883
673.219943,1.0
673.280208,1.0
673.340473,1.0
673.400738,1.0
673.461003,0.9964916686264631
673.521268,0.9585783284621558
673.581533,0.9480310728465355
673.641798,0.9603523793961436
673.702063,0.9692594041269637
673.762328,0.9674679318521258
673.822593,0.9782451262646134
673.882858,0.9964746287646209
673.943123,0.9964746287646209
674.003387,0.9873141524197337
674.063652,0.9946296720475073
674.123917,1.0
674.184182,0.9964643651288024
674.244447,0.980039893983152
674.304712,0.987304279327575
674.364977,1.0
674.425242,0.9854764984599453
674.485507,0.9603197279703215
674.545772,0.9567740670392724
674.606037,0.9585447788077821
674.666302,0.9444977256850593
674.726567,0.9497210206390805
674.786832,1.0
674.847097,1.0
674.907362,0.9692167576514114
674.967627,0.8756051777300594
675.027892,0.8837421008757367
675.088157,0.9927609292158976
675.148422,1.0
675.208687,0.9927575538344765
675.268952,0.9186519088798779
675.329217,0.9271870071971895
675.389482,0.9656305223247666
675.449747,0.9567405805329433
675.510012,0.9271870071971895
675.570277,0.9497210206390805
675.630542,1.0
675.690807,1.0
675.751072,1.0
675.811337,1.0
675.871602,1.0
675.931867,1.0
675.992132,0.9927303526501594
676.052397,0.9673924722964022
676.112662,0.9461813749791615
676.172927,0.9375033010722847
676.233192,0.9655976914451357
676.293456,1.0
676.353721,1.0
676.413986,0.9763540521495482
676.474251,0.9340091913088017
676.534516,0.9531757258867832
676.594781,0.9945445353914808
676.655046,0.9963790714297698
676.715311,0.9745426450867096
676.775576,0.9727414078514697
676.835841,0.990868646356286
676.896106,1.0
676.956371,1.0
677.016636,1.0
677.076901,0.9982077080768849
677.137166,0.9655648616817357
677.197431,0.9444004474292299
677.257696,0.9531757258867832
677.317961,0.9602208201321817
677.378226,0.9391744821965422
677.438491,0.9185885240849657
677.498756,0.9357059573404067
677.559021,0.9673421691957348
677.619286,0.9799252360231775
677.679551,0.99084139784318
677.739816,1.0
677.800081,1.0
677.860346,1.0
677.920611,0.9549073107671942
677.980876,0.9391744821965422
678.041141,0.9691130570064261
678.101406,0.9981724719667108
678.161671,1.0
678.221936,1.0
678.282201,1.0
678.342466,1.0
678.402731,1.0
678.462996,0.9637474500216796
678.523261,0.9496232044115769
678.583525,0.9513483356105661
678.64379,0.9601881731792985
678.704055,0.9690897985721603
678.76432,0.9637474500216796
678.824585,0.9566429979705242
678.88485,0.961966165435419
678.945115,0.994462687744295
679.00538,1.0
679.065645,0.9944593065769046
679.12591,0.9726616463262932
679.186175,0.9780641676554418
679.24644,0.9944525442766118
679.306705,0.9853109523144696
679.36697,0.9583808816642111
679.427235,0.9513483356105661
679.4875,0.9708541771315706
679.547765,0.9926079565435526
679.60803,0.9981204685356224
679.668295,0.9962766489258337
679.72856,0.9889425876049579
679.788825,0.9708444686383418
679.84909,0.9478035726901631
679.909355,0.9391096813929241
679.96962,0.9513159903170285
680.029885,0.970837672750847
680.09015,0.9871048640047766
680.150415,0.9889287425056474
680.21068,0.9798380265580502
680.270945,0.9690374691359449
680.33121,0.967249308804862
680.391475,0.974415962777377
680.45174,0.9762163959331864
680.512005,0.9690306858974023
680.57227,0.9618997920599117
680.632535,0.9548089603793171
680.6928,0.9460517570098231
680.753065,0.9408166540363814
680.813329,0.9530451497570058
680.873594,0.9762037052025292
680.933859,0.994394569383265
680.994124,0.9962323156013803
681.054389,0.9888980861898051
681.114654,0.9852498649291547
681.174919,0.9798047126314872
681.235184,0.9743896539015534
681.295449,0.9761871098806014
681.355714,0.9925467145219697
681.415979,1.0
681.476244,1.0
681.536509,1.0
681.596774,0.996211793427058
681.657039,0.9636481891463502
681.717304,0.9512513030290797
681.777569,0.9565444688160718
681.837834,0.9600892788906044
681.898099,0.9600892788906044
681.958364,0.9725682752901272
682.018629,1.0
682.078894,1.0
682.139159,0.9636154256649015
682.199424,0.9167651008585163
682.259689,0.925252135216574
682.319954,0.9689706078573151
682.380219,0.988851609071975
682.440484,0.9725517417699826
682.500749,0.9636154256649015
682.561014,0.9725488241191338
682.621279,0.9636154256649015
682.681544,0.9407517399268155
682.741809,0.9407517399268155
682.802074,0.9761363494706697
682.862339,0.99616746298861
682.922604,0.974332166607865
682.982869,0.9477059539496275
683.043134,0.9459543186970103
683.103398,0.9547440355774796
683.163663,0.9618016832847542
683.223928,0.9797341692317706
683.284193,0.9979940146832798
683.344458,0.9761197552937796
683.404723,0.9303689975208943
683.464988,0.9150084305803918
683.525253,0.9564784695247253
683.585518,0.9979834360027912
683.645783,0.992468504922364
683.706048,0.9653659758061778
683.766313,0.9689211916164393
683.826578,0.9815247981714722
683.886843,0.9689173159394242
683.947108,0.9476737324949611
684.007373,0.9529469911618352
684.067638,0.9707017649904272
684.127903,0.9653331539209756
684.188168,0.9424296541048763
684.248433,0.9337850560002003
684.308698,0.9476737324949611
684.368963,0.9546781605117406
684.429228,0.9406877709834691
684.489493,0.92861783244504
684.549758,0.92861783244504
684.610023,0.9320274611289402
684.670288,0.9406877709834691
684.730553,0.9635489384943645
684.790818,0.9887695377944271
684.851083,0.9851217907717145
684.911348,0.9546781605117406
684.971613,0.933753307848018
685.031878,0.9423966696442141
685.092143,0.9599577556689428
685.152408,0.9599577556689428
685.212673,0.9423966696442141
685.272938,0.9354496090294179
685.333203,0.9564134312001257
685.393467,0.9851050438436206
685.453732,0.9887458076102834
685.513997,0.9617353212581238
685.574262,0.940655788142967
685.634527,0.9564134312001257
