nu,[0]Dinitrogenpentoxide-HITRAN(x-sec)-X=0.01-T=205.44K-P=0.0atm-L=15cm
540,0.9999431736146802
540.119602,0.9999929199250639
540.239204,0.999907629266439
540.358806,0.9998656490259006
540.478408,0.9999899430505714
540.59801,0.9998656390272441
540.717612,0.9998772875297912
540.837214,0.9999586978529572
540.956816,0.9999561829599946
541.076418,0.9998998450158454
541.19602,0.9999026467391363
541.315622,0.9999728153695088
541.435224,0.9999524241317675
541.554826,0.9999933809219061
541.674428,0.99999133283756
541.79403,0.9997675570190567
541.913632,0.9999744543262963
542.033234,0.9998828668606219
542.152836,0.9999932774225966
542.272438,0.9998512610627327
542.39204,0.9999689294826986
542.511642,0.9999837851314624
542.631244,0.9998719481993318
542.750846,1.0
542.870448,0.9999253657852716
542.99005,0.9999278636019551
543.109652,0.9998583400347205
543.229254,0.999794631091082
543.348856,0.999997128404123
543.468458,0.9999304344197972
543.58806,1.0
543.707662,0.9999501162442359
543.827264,0.9998291545957385
543.946866,0.9999400327981045
544.066468,0.99999720000392
544.18607,0.999908153218174
544.305672,0.9998167367947531
544.425274,0.9999297824653665
544.544876,0.9999322172973512
544.664478,0.9999569269276715
544.78408,0.9999827091494885
544.903682,0.9998702484184647
545.023284,0.9999753183045981
545.142886,0.9998574901554927
545.262488,0.9999903181468695
545.38209,0.9999109349665256
545.501692,0.9999497742613547
545.621294,0.9999477513650075
545.740896,0.999909416102969
545.860498,0.9999227369849405
545.9801,0.9998858865114395
546.099702,0.9999969511046479
546.219304,0.9999020777946922
546.338906,0.9999339851790742
546.458508,0.9998279148083555
546.57811,0.9999185823145996
546.697712,0.9999513361841219
546.817314,0.9999823171563433
546.936916,0.9999235759204688
547.056518,0.9999512211897249
547.17612,0.9998540006589413
547.295722,0.9999213100962129
547.415324,0.9999591638338189
547.534926,0.9999938867186862
547.654528,0.9998089282565311
547.77413,0.9999394808313588
547.893732,1.0
548.013334,0.9999714494075759
548.132936,0.9998686786234069
548.252538,0.9998126275564094
548.37214,0.9999598178073259
548.491742,0.9999663655656502
548.611344,0.9999300234484731
548.730946,0.9999770192640611
548.850548,0.9998854365628919
548.97015,0.9998182265228008
549.089752,0.9998747678422014
549.209354,0.9999727693707603
549.328956,0.9999693454698597
549.448558,0.9999419346858556
549.56816,0.9999327342624412
549.687762,0.9999467594173301
549.807364,0.999918885289976
549.926966,0.9999156695560119
550.046568,0.9998517809855236
550.16617,0.9999778312457305
550.285772,0.9999393748377794
550.405374,0.9999095490909302
550.524976,0.9999940984174144
550.644578,0.9999323782864511
550.76418,0.9999092021223768
550.883782,0.9999201411888846
551.003384,0.999815617000635
551.122986,0.9999636136619988
551.242588,0.9998867164170697
551.36219,0.9999407737539434
551.481792,0.9999753363041539
551.601394,0.9998706383679375
551.720996,0.9999667495528084
551.840598,0.9999096330833358
551.9602,0.9998545405802474
552.079802,0.9998646491607515
552.199404,0.9998977852242862
552.319006,0.9999409947408788
552.438608,0.9999085271838932
552.55821,0.9999764432774639
552.677812,0.9999078792433775
552.797414,1.0
552.917016,0.9999668295501516
553.036618,0.9998874663323882
553.15622,0.9999451845024243
553.275822,0.9998053289508682
553.395424,0.999933510210544
553.515026,0.999922215025408
553.634628,0.9998894361126371
553.75423,0.9998827168782032
553.873832,0.99993694198824
553.993434,0.9998997050298768
554.113036,0.9999550990080797
554.232638,0.9999314243514172
554.35224,0.9998319541212907
554.471842,0.9998890261580524
554.591444,0.9998879062829702
554.711046,0.9999570729213934
554.830648,0.999959506819871
554.95025,0.9999304724171544
555.069852,0.9999575499010309
555.189454,0.9999185253192421
555.309056,0.9998903660102452
555.428658,0.9999663445663568
555.54826,0.9998814270303303
555.667862,0.9999858231004932
555.787464,0.9998523808967722
555.907066,0.9998971852857951
556.026668,0.999998548101054
556.14627,0.9999757012952183
556.265872,0.9998019696106066
556.385474,0.9999694164676858
556.505076,0.9999007619244236
556.624678,0.9999371649742029
556.74428,0.9998508111297665
556.863882,0.9999545950308368
