nu,[0]Methyliodide-PNNL(x-sec)-X=0.01-T=278.19K-P=1.0atm-L=15cm
500,0.9992009494110836
500.128003,0.9947663435535641
500.256005,0.9937057920406072
500.384008,0.9973640801536675
500.51201,0.9913143401933007
500.640013,0.9955577959059038
500.768015,0.988851609071975
500.896018,0.9920015591249114
501.02402,0.9983982841182611
501.152023,0.9855435131403139
501.280026,1.0007321278748749
501.408028,1.007497164054
501.536031,0.9939524604284723
501.664033,0.9912529797347684
501.792036,0.9870979542949125
501.920038,0.9908216802955532
502.048041,0.9884808592385115
502.176044,0.9959379724434635
502.304046,0.9960337862849844
502.432049,0.9982013195679964
502.560051,1.002086072828662
502.688054,0.989162157230733
502.816056,0.9939382470099143
502.944059,0.994869108224557
503.072061,0.991936089182541
503.200064,0.9857830293140435
503.328067,0.9839925038475587
503.456069,0.9875708874734735
503.584072,0.9974485604689474
503.712074,0.9886311197486252
503.840077,0.9940190574742971
503.968079,0.987796079306711
504.096082,0.988470974479343
504.224084,0.9925957475407726
504.352087,0.9971964373425667
504.48009,0.9815905625360313
504.608092,0.9963613360401438
504.736095,0.98720061782057
504.864097,0.991487339639427
504.9921,0.9951174585468007
505.120102,0.9868028561259532
505.248105,0.9910973652330082
505.376108,0.9904256289637077
505.50411,0.9926023979545601
505.632113,1.0005852912160995
505.760115,0.9888852305982462
505.888118,0.9846736623138687
506.01612,0.991632999828099
506.144123,0.998655005317204
506.272125,0.9978499147518248
506.400128,0.9902047886730563
506.528131,0.9835271854497153
506.656133,0.9963529666400726
506.784136,0.9938796063832562
506.912138,0.992292258167065
507.040141,0.992343461768628
507.168143,0.9830591379135921
507.296146,0.9798380265580502
507.424148,0.9927625176346552
507.552151,0.9953766208744769
507.680154,0.9852065148888056
507.808156,0.9855602675224491
507.936159,0.9907730321453725
508.064161,0.9902805422369267
508.192164,0.9892472288342813
508.320166,0.9909515855329422
508.448169,0.9850617001752592
508.576172,0.9914890251693371
508.704174,0.9912267118788561
508.832177,0.9842464066656065
508.960179,0.9857968303730611
509.088182,0.9807026249293068
509.216184,0.983389501281869
509.344187,0.9930001141324123
509.472189,0.9839806960083597
509.600192,0.9926569925877862
509.728195,0.9758093985609321
509.856197,0.9870308339161392
509.9842,0.9867022073678022
510.112202,0.9855218314215246
510.240205,0.9866755667678531
510.368207,0.9801575058269996
510.49621,0.995111686882279
510.624212,0.9900783475949775
510.752215,0.9882733000525488
510.880218,0.9823967792945675
511.00822,0.9835773466152721
511.136223,0.9825883653455628
511.264225,0.9872657752115165
511.392228,0.9876805139261386
511.52023,0.9820579108638763
511.648233,0.9751041433462541
511.776236,0.9859141471760868
511.904238,0.9835163667101785
512.032241,0.9912318662711593
512.160243,0.9833875345048332
512.288246,0.9762525166080643
512.416248,0.9808497413565024
512.544251,0.9808389520686887
512.672253,0.991641627072726
512.800256,0.980782065059208
512.928259,0.9760787591249829
513.056261,0.980192792132359
513.184264,0.9870505747302251
513.312266,0.9851710480926757
513.440269,0.9782558870201863
513.568271,0.9766206331924416
513.696274,0.9789585269646212
513.824276,0.9809939368665921
513.952279,0.9825353070064222
514.080282,0.9798517443864466
514.208284,0.9752504199382261
514.336287,0.9825274467554072
514.464289,0.9761949194087185
514.592292,0.978058299288041
514.720294,0.9774257002362625
514.848297,0.9807281235290354
514.9763,0.9789810432696778
515.104302,0.980572200153631
515.232305,0.9799928531972287
515.360307,0.9667619379809888
515.48831,0.9785944221202902
515.616312,0.9795049382572404
515.744315,0.98306405322157
515.872317,0.9846736623138687
516.00032,0.9781932806468423
516.128323,0.9778705301209946
516.256325,0.9811921176574252
516.384328,0.9822582711137432
516.51233,0.9763101172057451
516.640333,0.9611401913059878
516.768335,0.9749081671097131
516.896338,0.9800839967706866
517.02434,0.9818880295404551
517.152343,0.9673121820532928
517.280346,0.9711338234017145
517.408348,0.9781052472131481
517.536351,0.9810586846030771
517.664353,0.974843825293987
517.792356,0.9694833289116339
517.920358,0.9733544280194935
518.048361,0.9762066338180377
518.176364,0.9781297001499888
518.304366,0.9728766283047648
518.432369,0.9688252731665109
518.560371,0.977822615638933
518.688374,0.976983026667189
518.816376,0.9798684020076905
518.944379,0.9721034987449824
519.072381,0.9699255141201829
519.200384,0.9744412979217646
519.328387,0.9797547438653573
519.456389,0.9681086076633076
519.584392,0.9653360499247814
519.712394,0.9733690284454166
519.840397,0.9758679488813378
519.968399,0.9732541776763887
520.096402,0.9744422723635497
520.224404,0.9642670499168335
520.352407,0.9755371857141915
520.48041,0.974568958093351
520.608412,0.97115227511965
520.736415,0.9667629047434101
520.864417,0.9625406306970025
520.99242,0.9762193245867672
521.120422,0.9717837292988535
521.248425,0.97230960653337
521.376428,0.9704329178385743
521.50443,0.970452326691019
521.632433,0.9773856266040679
521.760435,0.9728659267207123
521.888438,0.9652028427413988
522.01644,0.9690936749391074
522.144443,0.975960660740225
522.272445,0.9795862405411138
522.400448,0.9705891701163172
522.528451,0.9681792821712553
522.656453,0.9716486607479627
522.784456,0.980191811940057
522.912458,0.9760894960503862
523.040461,0.9664255633591502
523.168463,0.9723708639681704
523.296466,0.9746751918994204
523.424468,0.9739863400765604
523.552471,0.9659811098321534
523.680474,0.9675685537492863
523.808476,0.976274970674167
523.936479,0.9771852830865263
524.064481,0.969932303622545
524.192484,0.9679585624579237
524.320486,0.9727414078514697
524.448489,0.979086778931974
524.576492,0.9751636265132163
524.704494,0.9648390298527239
524.832497,0.9696946993158736
524.960499,0.9727297350246126
525.088502,0.9742659142731406
525.216504,0.9696413675740475
525.344507,0.9723893391900998
525.472509,0.974701508484874
525.600512,0.9756025488952764
525.728515,0.9715262407293316
525.856517,0.9649162200626793
525.98452,0.9716214549663444
526.112522,0.9723611403081491
526.240525,0.9748876942531695
526.368527,0.9647801764669494
526.49653,0.9694048039422962
526.624532,0.9750924421667412
526.752535,0.9781023129018078
526.880538,0.9714854374840951
527.00854,0.9736338208312857
527.136543,0.9783175190824581
527.264545,0.9811420781354433
527.392548,0.9738577823646659
527.52055,0.9787451372660652
527.648553,0.978497546067944
527.776556,0.9828350259798792
527.904558,0.9797037979432818
528.032561,0.977626093044372
528.160563,0.9782549087647884
