nu,[0]2-Fluoroethanol-PNNL(x-sec)-X=0.01-T=298.18K-P=1.0atm-L=15cm
510,0.8709331987167023
510.134803,0.8482583767796834
510.269605,0.8561925384817922
510.404408,0.8499820902617929
510.539211,0.8762708906039833
510.674013,0.8837597758945038
510.808816,0.9335684429952885
510.943619,0.9012703598126263
511.078422,0.9146397564756896
511.213224,0.8958072606755907
511.348027,0.939496674296722
511.48283,0.8734014305698244
511.617632,0.8780690884527727
511.752435,0.8853165626705826
511.887238,0.8903861802273706
512.02204,0.8565179534713475
512.156843,0.9068420405387579
512.291646,0.8715779278040938
512.426449,0.8747824955841785
512.561251,0.8963807608228948
512.696054,0.8970802105662744
512.830857,0.8527575534229568
512.965659,0.909462966845273
513.100462,0.8545844086251595
513.235265,0.8495317191128511
513.370067,0.8764899857123818
513.50487,0.8578294289630738
513.639673,0.902812850581647
513.774475,0.8441964928912871
513.909278,0.8629573584100999
514.044081,0.8535765937506978
514.178884,0.8790882395887559
514.313686,0.8380814395400673
514.448489,0.8383999710042378
514.583292,0.837520113040951
514.718094,0.8295183896810265
514.852897,0.8449904106775056
514.9877,0.7781857734135789
515.122502,0.8230897763413069
515.257305,0.8930613495156083
515.392108,0.8230650840184034
515.526911,0.8405069981443125
515.661713,0.8676559620302797
515.796516,0.8453115680495992
515.931319,0.7753660798960562
516.066121,0.8315615169358163
516.200924,0.8119228139909674
516.335727,0.822365775945023
516.470529,0.8432177927153801
516.605332,0.8447791894785862
516.740135,0.8588937972269305
516.874937,0.8250840657169177
517.00974,0.8775687316875799
517.144543,0.8402212743407426
517.279346,0.8416424488485862
517.414148,0.8664854167773611
517.548951,0.878921228689772
517.683754,0.8552854552300582
517.818556,0.8879232232783502
517.953359,0.8692626112523364
518.088162,0.8405322137324888
518.222964,0.8314284777365263
518.357767,0.8577436503091816
518.49257,0.855790222540358
518.627373,0.8444160125157534
518.762175,0.882867629130806
518.896978,0.8605014312971225
519.031781,0.8913572302899605
519.166583,0.8814649849980756
519.301386,0.8581726293701644
519.436189,0.8652039668673713
519.570991,0.843352718355978
519.705794,0.8707677371282948
519.840597,0.8626726294646845
519.9754,0.853192570695178
520.110202,0.8634321155034583
520.245005,0.8843963120586686
520.379808,0.8747824955841785
520.51461,0.8765513421588322
520.649413,0.8669621148365382
520.784216,0.8691496144578243
520.919018,0.8691756893373794
521.053821,0.8947508315237741
521.188624,0.8935437328761322
521.323426,0.8722318564425334
521.458229,0.8489797029201259
521.593032,0.8812358338929106
521.727835,0.8787718247805868
521.862637,0.8533290924279365
521.99744,0.861551883688973
522.132243,0.862965988026832
522.267045,0.8463434774993929
522.401848,0.8552341396422274
522.536651,0.8397676773348125
522.671453,0.847351225728891
522.806256,0.8510111910714406
522.941059,0.8508665314653734
523.075862,0.8611039931710818
523.210664,0.8362564120046553
523.345467,0.8721708023495006
523.48027,0.8484450141519331
523.615072,0.8554907483735052
523.749875,0.8500585920924473
523.884678,0.8663901086235601
524.01948,0.8534827054893344
524.154283,0.8540376495851949
524.289086,0.8691409230051371
524.423888,0.8380814395400673
524.558691,0.844618696679884
524.693494,0.8493533361827006
524.828297,0.8322020658835533
524.963099,0.8500245904288013
525.097902,0.862594992421752
525.232705,0.8633544101098581
525.367507,0.8578809002729354
525.50231,0.8389199401600423
525.637113,0.8684285195735982
525.771915,0.8837774512667749
525.906718,0.847936099833005
526.041521,0.8174463543125066
526.176324,0.8559613977018116
526.311126,0.8554993033237637
526.445929,0.8522716201216533
526.580732,0.8708548182559914
526.715534,0.843673253286733
526.850337,0.8622414009660607
526.98514,0.8598562971791845
527.119942,0.8906800561537065
527.254745,0.8606649421021036
527.389548,0.8549776078820227
527.52435,0.8645812442182821
527.659153,0.8451763290181222
527.793956,0.8758328646742893
527.928759,0.8787894003928379
528.063561,0.8528087204111565
528.198364,0.8483601738926015
528.333167,0.8632508137965481
528.467969,0.8652731859534473
528.602772,0.8770598894017285
528.737575,0.8836979148753521
528.872377,0.8961387706876109
529.00718,0.8874971224035676
529.141983,0.8733839627158921
529.276786,0.8752812637420824
529.411588,0.8775862832377285
529.546391,0.8748349841085535
529.681194,0.889941098416982
529.815996,0.8847766842470134
529.950799,0.8893094644936826
530.085602,0.8874083771286649
530.220404,0.8931953187654783
530.355207,0.8998834716365057
530.49001,0.8891582947345122
530.624812,0.8927220506736553
530.759615,0.9035715319777113
530.894418,0.8991728444286186
531.029221,0.9077466129075714
531.164023,0.8980675417304818
531.298826,0.9071068770788483
531.433629,0.9117713801438831
531.568431,0.8975827161726292
531.703234,0.9238856226622619
531.838037,0.9112171916351344
531.972839,0.9214037100064364
532.107642,0.9173896305204148
532.242445,0.919093886735202
532.377248,0.9294065637538499
532.51205,0.9160951904518735
532.646853,0.9197264409029582
532.781656,0.9162097095079719
532.916458,0.9340755083156105
533.051261,0.914106676905458
533.186064,0.9242912974897202
533.320866,0.9096357812258198
533.455669,0.9270970744193017
533.590472,0.9272778759763923
533.725275,0.9358678484742059
533.860077,0.9286846953360112
533.99488,0.9227850070972441
534.129683,0.926036155760931
534.264485,0.9344847229997264
534.399288,0.9227683971166065
534.534091,0.9503166824394813
534.668893,0.9312793434870863
534.803696,0.9253002495785678
534.938499,0.9431735245202544
535.073301,0.9471933836912972
535.208104,0.9551155032530979
535.342907,0.9425879955870781
535.47771,0.940405606978891
535.612512,0.9433885926006744
535.747315,0.9425568906964572
535.882118,0.9697189419863885
536.01692,0.9552530497886792
536.151723,0.9485308168929159
536.286526,0.9572745907518757
536.421328,0.9389153058074429
536.556131,0.9471943308851546
536.690934,0.9500905339817947
536.825737,0.9540912139475942
536.960539,0.9689735147734991
537.095342,0.9468524554439349
537.230145,0.9518802879970124
537.364947,0.9576135259449916
537.49975,0.9385426304119981
537.634553,0.9646470459888111
537.769355,0.9632753294501554
537.904158,0.9505542913099625
538.038961,0.9690558810227708
538.173763,0.9534359783827996
538.308566,0.9539872236728468
538.443369,0.9645968856466
538.578172,0.953896599191329
538.712974,0.9658961072346574
538.847777,0.9571673820015136
538.98258,0.9642284800062402
539.117382,0.9658680966537029
539.252185,0.9650966762679604
539.386988,0.9737623489783065
539.52179,0.959264916314454
539.656593,0.953955742613906
539.791396,0.9693757222344057
539.926199,0.9538441363211156
540.061001,0.9790437000614431
540.195804,0.9684445996414037
540.330607,0.9588247147518527
540.465409,0.9724165664727774
540.600212,0.964759916295976
540.735015,0.9686673675166448
540.869817,0.9650513177901083
541.00462,0.9625993474663183
541.139423,0.9680301940418815
541.274225,0.967481476497984
541.409028,0.9644965727868519
541.543831,0.9711454770775172
541.678634,0.9694755730760259
541.813436,0.9702281780937131
541.948239,0.9727764271724963
542.083042,0.9746771412517535
542.217844,0.9720160133669964
542.352647,0.9638332273617666
542.48745,0.9553332944150886
542.622252,0.9752757767787821
542.757055,0.9691285629393854
542.891858,0.96994103305256
543.026661,0.9719042379526687
543.161463,0.9772243712796084
543.296266,0.9715456714484527
543.431069,0.9586684390601631
543.565871,0.9675230790959228
543.700674,0.9673528100181203
543.835477,0.979411889707982
543.970279,0.9650484226404976
544.105082,0.9702825123930325
544.239885,0.9748828198268843
544.374687,0.9686712421938642
544.50949,0.9798507645351922
544.644293,0.9782392568114641
