nu,[0]Nitrobenzene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
550,0.9335768451490851
550.119002,0.9227840843126983
550.238005,0.9361383533684895
550.357007,0.9316696312915924
550.47601,0.9344978058774283
550.595012,0.9335656422941606
550.714014,0.9362198009481508
550.833017,0.9226733568663604
550.952019,0.9254029636067942
551.071021,0.9156940286193103
551.190024,0.9320274611289402
551.309026,0.929386117034362
551.428029,0.9406238063898631
551.547031,0.9210757486662564
551.666033,0.9223477106513251
551.785036,0.9285741884325573
551.904038,0.9501855477858039
552.02304,0.9218940271929671
552.142043,0.9139156485731409
552.261045,0.9347099609580531
552.380048,0.9231643496847228
552.49905,0.9518840955257794
552.618052,0.9446819206999981
552.737055,0.9578826531563844
552.856057,0.9290023598193465
552.97506,0.9513293088341224
553.094062,0.9417494654722566
553.213064,0.9342427227968485
553.332067,0.9275857833410108
553.451069,0.9215585188332949
553.570071,0.9396657989188547
553.689074,0.9474728469582914
553.808076,0.9541971239502388
553.927079,0.9325383521489932
554.046081,0.9381475871270409
554.165083,0.9426690616404888
554.284086,0.9387744790738408
554.403088,0.9203888823907265
554.52209,0.9488505256461078
554.641093,0.9562212114191896
554.760095,0.9326381390911793
554.879098,0.945579794947403
554.9981,0.9393097330598069
555.117102,0.9430207427849367
555.236105,0.9477324900878423
555.355107,0.9501152366568115
555.474109,0.940914504056514
555.593112,0.9511752059687603
555.712114,0.9406840082399107
555.831117,0.9534102359589076
555.950119,0.9556266267606852
556.069121,0.9324646845290826
556.188124,0.9589704671853994
556.307126,0.9423476662914908
556.426129,0.9443220654449905
556.545131,0.9258676325166629
556.664133,0.944952138368603
556.783136,0.9457566349030787
556.902138,0.9386120851364417
557.02114,0.9390833866899726
557.140143,0.953343499578191
557.259145,0.9532996467858323
557.378148,0.9472805294912422
557.49715,0.950315732123274
557.616152,0.9555033588767825
557.735155,0.9474775843343697
557.854157,0.945935399799826
557.973159,0.9548920323724494
558.092162,0.9397541316555267
558.211164,0.9491580030250628
558.330167,0.9487385678897192
558.449169,0.943968955028278
558.568171,0.9414293250809466
558.687174,0.9587058278583632
558.806176,0.9499518308894055
558.925179,0.9598944005478106
559.044181,0.9480225406052751
