nu,[0]Perfluorobut-1-ene-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
607.892712,1.0
607.952977,1.0
608.013241,1.0
608.073506,1.0
608.133771,1.0
608.194036,1.0
608.254301,1.0
608.314566,1.0
608.374831,1.0
608.435096,1.0
608.495361,1.0
608.555626,1.0
608.615891,1.0
608.676156,1.0
608.736421,1.0
608.796686,1.0
608.856951,1.0
608.917216,1.0
608.977481,1.0
609.037746,1.0
609.098011,1.0
609.158276,1.0
609.218541,1.0
609.278806,1.0
609.339071,1.0
609.399336,1.0
609.459601,1.0
609.519866,1.0
609.580131,1.0
609.640396,1.0
609.700661,1.0
609.760926,1.0
609.821191,1.0
609.881456,1.0
609.941721,1.0
610.001986,1.0
610.062251,1.0
610.122516,1.0
610.182781,1.0
610.243045,1.0
610.30331,1.0
610.363575,1.0
610.42384,1.0
610.484105,1.0
610.54437,1.0
610.604635,1.0
610.6649,1.0
610.725165,1.0
610.78543,1.0
610.845695,1.0
610.90596,1.0
610.966225,1.0
611.02649,1.0
611.086755,1.0
611.14702,1.0
611.207285,1.0
611.26755,1.0
611.327815,1.0
611.38808,1.0
611.448345,1.0
611.50861,1.0
611.568875,1.0
611.62914,1.0
611.689405,1.0
611.74967,1.0
611.809935,1.0
611.8702,1.0
611.930465,1.0
611.99073,1.0
612.050995,1.0
612.11126,1.0
612.171525,1.0
612.23179,1.0
612.292055,1.0
612.35232,1.0
612.412585,1.0
612.47285,1.0
612.533114,1.0
612.593379,1.0
612.653644,1.0
612.713909,1.0
612.774174,1.0
612.834439,1.0
612.894704,1.0
612.954969,1.0
613.015234,1.0
613.075499,1.0
613.135764,1.0
613.196029,1.0
613.256294,1.0
613.316559,1.0
613.376824,1.0
613.437089,1.0
613.497354,1.0
613.557619,1.0
613.617884,1.0
613.678149,1.0
613.738414,1.0
613.798679,1.0
613.858944,1.0
613.919209,1.0
613.979474,1.0
614.039739,1.0
614.100004,1.0
614.160269,1.0
614.220534,1.0
614.280799,1.0
614.341064,1.0
614.401329,1.0
614.461594,1.0
614.521859,1.0
614.582124,1.0
614.642389,1.0
614.702654,1.0
614.762919,1.0
614.823183,1.0
614.883448,1.0
614.943713,1.0
615.003978,1.0
615.064243,1.0
615.124508,1.0
615.184773,1.0
615.245038,1.0
615.305303,1.0
615.365568,1.0
615.425833,1.0
615.486098,1.0
615.546363,1.0
615.606628,1.0
615.666893,1.0
615.727158,1.0
615.787423,1.0
615.847688,1.0
615.907953,1.0
615.968218,1.0
616.028483,1.0
616.088748,1.0
616.149013,1.0
616.209278,1.0
616.269543,1.0
616.329808,1.0
616.390073,1.0
616.450338,1.0
616.510603,1.0
616.570868,1.0
616.631133,1.0
616.691398,1.0
616.751663,1.0
616.811928,1.0
616.872193,1.0
616.932458,1.0
616.992723,1.0
617.052988,1.0
617.113252,1.0
617.173517,1.0
617.233782,1.0
617.294047,1.0
617.354312,1.0
617.414577,1.0
617.474842,1.0
617.535107,1.0
617.595372,1.0
617.655637,1.0
617.715902,1.0
617.776167,1.0
617.836432,1.0
617.896697,1.0
617.956962,1.0
618.017227,1.0
618.077492,1.0
618.137757,1.0
618.198022,1.0
618.258287,1.0
618.318552,1.0
618.378817,1.0
618.439082,1.0
618.499347,1.0
618.559612,1.0
618.619877,1.0
618.680142,1.0
618.740407,1.0
618.800672,1.0
618.860937,1.0
618.921202,1.0
618.981467,1.0
619.041732,1.0
619.101997,1.0
619.162262,1.0
619.222527,1.0
619.282792,1.0
619.343057,1.0
619.403321,1.0
619.463586,1.0
619.523851,1.0
619.584116,1.0
619.644381,1.0
619.704646,1.0
619.764911,1.0
619.825176,1.0
619.885441,1.0
619.945706,1.0
620.005971,1.0
620.066236,1.0
620.126501,1.0
620.186766,1.0
620.247031,1.0
620.307296,1.0
620.367561,1.0
620.427826,1.0
620.488091,1.0
620.548356,1.0
620.608621,1.0
620.668886,1.0
620.729151,1.0
620.789416,1.0
620.849681,1.0
620.909946,1.0
620.970211,1.0
621.030476,1.0
621.090741,1.0
621.151006,1.0
621.211271,1.0
621.271536,1.0
621.331801,1.0
621.392066,1.0
621.452331,1.0
621.512596,1.0
621.572861,1.0
621.633125,1.0
621.69339,1.0
621.753655,1.0
621.81392,1.0
621.874185,1.0
621.93445,1.0
621.994715,1.0
622.05498,1.0
622.115245,1.0
622.17551,1.0
622.235775,1.0
622.29604,1.0
622.356305,1.0
622.41657,1.0
622.476835,1.0
622.5371,1.0
622.597365,1.0
622.65763,1.0
622.717895,1.0
622.77816,1.0
622.838425,1.0
622.89869,1.0
622.958955,1.0
623.01922,1.0
623.079485,1.0
623.13975,1.0
623.200015,1.0
623.26028,1.0
623.320545,1.0
623.38081,1.0
623.441075,1.0
623.50134,1.0
623.561605,1.0
623.62187,1.0
623.682135,1.0
623.7424,1.0
623.802665,1.0
623.86293,1.0
623.923194,1.0
623.983459,1.0
624.043724,1.0
624.103989,1.0
624.164254,1.0
624.224519,1.0
624.284784,1.0
624.345049,1.0
624.405314,1.0
624.465579,1.0
624.525844,1.0
624.586109,1.0
624.646374,1.0
624.706639,1.0
624.766904,1.0
624.827169,1.0
624.887434,1.0
624.947699,1.0
625.007964,1.0
625.068229,1.0
625.128494,1.0
625.188759,1.0
625.249024,1.0
625.309289,1.0
625.369554,1.0
625.429819,1.0
625.490084,1.0
625.550349,1.0
625.610614,1.0
625.670879,1.0
625.731144,1.0
625.791409,1.0
625.851674,1.0
625.911939,1.0
625.972204,1.0
626.032469,1.0
626.092734,1.0
626.152999,1.0
626.213263,1.0
626.273528,1.0
626.333793,1.0
626.394058,1.0
626.454323,1.0
626.514588,1.0
626.574853,1.0
626.635118,1.0
626.695383,1.0
626.755648,1.0
626.815913,1.0
626.876178,1.0
626.936443,1.0
626.996708,1.0
627.056973,1.0
627.117238,1.0
627.177503,1.0
627.237768,1.0
627.298033,1.0
627.358298,1.0
627.418563,1.0
627.478828,1.0
627.539093,1.0
627.599358,1.0
627.659623,1.0
627.719888,1.0
627.780153,1.0
627.840418,1.0
627.900683,1.0
627.960948,1.0
628.021213,1.0
628.081478,1.0
628.141743,1.0
628.202008,1.0
628.262273,1.0
628.322538,1.0
628.382803,1.0
628.443068,1.0
628.503332,1.0
628.563597,1.0
628.623862,1.0
628.684127,1.0
628.744392,1.0
628.804657,1.0
628.864922,1.0
628.925187,1.0
628.985452,1.0
629.045717,1.0
629.105982,1.0
629.166247,1.0
629.226512,1.0
629.286777,1.0
629.347042,1.0
629.407307,1.0
629.467572,1.0
629.527837,1.0
629.588102,1.0
629.648367,1.0
629.708632,1.0
629.768897,1.0
629.829162,1.0
629.889427,1.0
629.949692,1.0
630.009957,1.0
630.070222,1.0
630.130487,1.0
630.190752,1.0
630.251017,1.0
630.311282,1.0
630.371547,1.0
630.431812,1.0
630.492077,1.0
630.552342,1.0
630.612607,1.0
630.672872,1.0
630.733136,1.0
630.793401,1.0
630.853666,1.0
630.913931,1.0
630.974196,1.0
631.034461,1.0
631.094726,1.0
631.154991,1.0
631.215256,1.0
631.275521,1.0
631.335786,1.0
631.396051,1.0
631.456316,1.0
631.516581,1.0
631.576846,1.0
631.637111,1.0
631.697376,1.0
631.757641,1.0
631.817906,1.0
631.878171,1.0
631.938436,1.0
631.998701,1.0
632.058966,1.0
632.119231,1.0
632.179496,1.0
632.239761,1.0
632.300026,1.0
632.360291,1.0
632.420556,1.0
632.480821,1.0
632.541086,1.0
632.601351,1.0
632.661616,1.0
632.721881,1.0
632.782146,1.0
632.842411,1.0
632.902676,1.0
632.962941,1.0
633.023205,1.0
633.08347,1.0
633.143735,1.0
633.204,1.0
633.264265,1.0
633.32453,1.0
633.384795,1.0
633.44506,1.0
633.505325,1.0
633.56559,1.0
633.625855,1.0
633.68612,1.0
633.746385,1.0
633.80665,1.0
633.866915,1.0
633.92718,1.0
633.987445,1.0
634.04771,1.0
634.107975,1.0
634.16824,1.0
634.228505,1.0
634.28877,1.0
634.349035,1.0
634.4093,1.0
634.469565,1.0
634.52983,1.0
634.590095,1.0
634.65036,1.0
634.710625,1.0
634.77089,1.0
634.831155,1.0
634.89142,1.0
634.951685,1.0
635.01195,0.983267568543696
635.072215,0.983267568543696
635.13248,0.9880183584300186
635.192745,0.9856420724195097
635.25301,0.9785406009071705
635.313274,0.9808997659689284
635.373539,0.9927949814997631
635.433804,0.9927949814997631
635.494069,0.9785406009071705
635.554334,0.9738324623914856
635.614599,0.9927949814997631
635.674864,1.0
635.735129,0.9808997659689284
635.795394,0.9668151113498319
635.855659,0.9904037407991727
635.915924,1.0
635.976189,0.9856420724195097
636.036454,0.9552349001531553
636.096719,0.9644734251468777
636.156984,0.9856420724195097
636.217249,0.9644734251468777
636.277514,0.9257593123405123
636.337779,0.9437858428134617
636.398044,1.0
636.458309,1.0
636.518574,0.9668151113498319
636.578839,0.9235420011281996
636.639104,0.9529469911618352
636.699369,1.0
636.759634,1.0
636.819899,0.9761832051399714
636.880164,0.9621633887140286
636.940429,0.9668151113498319
637.000694,0.959859844971395
637.060959,0.9506322399577007
637.121224,0.9575283021336983
637.181489,0.9785406009071705
637.241754,0.9880183584300186
637.302019,0.9856420724195097
637.362284,0.9785406009071705
637.422549,0.9621633887140286
637.482814,0.9506322399577007
637.543079,0.9575283021336983
637.603343,0.983267568543696
637.663608,0.9975924029221586
637.723873,0.9856420724195097
637.784138,0.9668151113498319
637.844403,0.9668151113498319
637.904668,0.9738324623914856
637.964933,0.9691498840023008
638.025198,0.9575283021336983
638.085463,0.9529469911618352
638.145728,0.9552349001531553
638.205993,0.9529469911618352
638.266258,0.9506322399577007
638.326523,0.9529469911618352
638.386788,0.9552349001531553
638.447053,0.9529469911618352
638.507318,0.9460517570098231
638.567583,0.9437858428134617
638.627848,0.9392383482327522
638.688113,0.9369887530163612
638.748378,0.9437858428134617
638.808643,0.9506322399577007
638.868908,0.9460517570098231
638.929173,0.9324749416970268
638.989438,0.9302415456988831
639.049703,0.9415253557695866
639.109968,0.9460517570098231
639.170233,0.9347454806114387
639.230498,0.9257593123405123
639.290763,0.9324749416970268
639.351028,0.9483553549225233
639.411293,0.9529469911618352
639.471558,0.9415253557695866
639.531823,0.9190920485492667
639.592088,0.9080770928183647
639.652353,0.9190920485492667
639.712618,0.9506322399577007
639.772883,0.9668151113498319
639.833148,0.9506322399577007
639.893412,0.9212986759705495
639.953677,0.9102563644234322
640.013942,0.9257593123405123
640.074207,0.9369887530163612
640.134472,0.9324749416970268
640.194737,0.9235420011281996
640.255002,0.9235420011281996
640.315267,0.9279819470454289
640.375532,0.9257593123405123
640.435797,0.9212986759705495
640.496062,0.9212986759705495
640.556327,0.9190920485492667
640.616592,0.9190920485492667
640.676857,0.9190920485492667
640.737122,0.9168907062811089
640.797387,0.9124737144706087
640.857652,0.9146635374185089
640.917917,0.9212986759705495
640.978182,0.9190920485492667
641.038447,0.9036980408476025
641.098712,0.8929006129394214
641.158977,0.8950461480227192
641.219242,0.9059021327691267
641.279507,0.9102563644234322
641.339772,0.9080770928183647
641.400037,0.9059021327691267
641.460302,0.8993796779677823
641.520567,0.8907334985603319
641.580832,0.8885983014252438
641.641097,0.8971968385743043
641.701362,0.9015407814817923
641.761627,0.8971968385743043
641.821892,0.8907334985603319
641.882157,0.8907334985603319
641.942422,0.8885983014252438
642.002687,0.8885983014252438
642.062952,0.8993796779677823
642.123216,0.9059021327691267
642.183481,0.8929006129394214
642.243746,0.8779461673850648
642.304011,0.8885983014252438
642.364276,0.9102563644234322
642.424541,0.8993796779677823
642.484806,0.8737159116880344
642.545071,0.8800557686957533
642.605336,0.9146635374185089
642.665601,0.9036980408476025
642.725866,0.8285981351042578
642.786131,0.7782480307657129
642.846396,0.8127676529576325
642.906661,0.8779461673850648
642.966926,0.8929006129394214
643.027191,0.8653510640446446
643.087456,0.8632508137965481
643.147721,0.8929006129394214
643.207986,0.9080770928183647
643.268251,0.8950461480227192
643.328516,0.8821969046402571
643.388781,0.8821969046402571
643.449046,0.8821969046402571
643.509311,0.8779461673850648
643.569576,0.8779461673850648
643.629841,0.8821969046402571
643.690106,0.8800557686957533
643.750371,0.8800557686957533
643.810636,0.8864416289710567
643.870901,0.8843167199722809
643.931166,0.8653510640446446
643.991431,0.8549776078820227
644.051696,0.8779461673850648
644.111961,0.9015407814817923
644.172226,0.8950461480227192
644.232491,0.8779461673850648
644.292756,0.8779461673850648
644.353021,0.8843167199722809
644.413285,0.8716302240486337
644.47355,0.8529025345300837
644.533815,0.8508580228426019
644.59408,0.8674304008043818
644.654345,0.8737159116880344
644.71461,0.8737159116880344
644.774875,0.8779461673850648
644.83514,0.8821969046402571
644.895405,0.8800557686957533
644.95567,0.8800557686957533
645.015935,0.8907334985603319
645.0762,0.8950461480227192
645.136465,0.8821969046402571
645.19673,0.8716302240486337
645.256995,0.8821969046402571
645.31726,0.8950461480227192
645.377525,0.8800557686957533
645.43779,0.8570320184475012
645.498055,0.859117138647336
645.55832,0.8779461673850648
645.618585,0.8843167199722809
645.67885,0.8779461673850648
645.739115,0.8800557686957533
645.79938,0.8864416289710567
645.859645,0.8779461673850648
645.91991,0.8674304008043818
645.980175,0.8758503815067505
646.04044,0.8885983014252438
646.100705,0.8821969046402571
646.16097,0.8653510640446446
646.221235,0.8611814960180431
646.2815,0.8716302240486337
646.341765,0.8779461673850648
646.40203,0.8737159116880344
646.462295,0.8716302240486337
646.52256,0.8758503815067505
646.582825,0.8737159116880344
646.64309,0.8674304008043818
646.703354,0.8611814960180431
646.763619,0.8611814960180431
646.823884,0.8570320184475012
646.884149,0.8570320184475012
646.944414,0.8632508137965481
647.004679,0.8632508137965481
647.064944,0.8549776078820227
647.125209,0.8447285042477897
647.185474,0.8427035867105999
647.245739,0.8447285042477897
647.306004,0.8467582874234993
647.366269,0.8549776078820227
647.426534,0.859117138647336
647.486799,0.8488184120996842
647.547064,0.8326099448180142
647.607329,0.8285981351042578
647.667594,0.8427035867105999
647.727859,0.8508580228426019
647.788124,0.8406583030210089
647.848389,0.8346022624573485
647.908654,0.8488184120996842
647.968919,0.859117138647336
648.029184,0.8508580228426019
648.089449,0.8406583030210089
648.149714,0.8447285042477897
648.209979,0.8570320184475012
648.270244,0.8632508137965481
648.330509,0.8632508137965481
648.390774,0.8653510640446446
648.451039,0.8674304008043818
648.511304,0.8653510640446446
648.571569,0.8632508137965481
648.631834,0.869506038861762
648.692099,0.8758503815067505
648.752364,0.869506038861762
648.812629,0.8632508137965481
648.872894,0.8653510640446446
648.933159,0.8716302240486337
648.993423,0.8737159116880344
649.053688,0.8716302240486337
649.113953,0.8737159116880344
649.174218,0.8800557686957533
649.234483,0.8843167199722809
649.294748,0.8821969046402571
649.355013,0.8800557686957533
649.415278,0.8821969046402571
649.475543,0.8821969046402571
649.535808,0.8885983014252438
649.596073,0.8950461480227192
649.656338,0.8993796779677823
649.716603,0.8971968385743043
649.776868,0.8950461480227192
649.837133,0.8950461480227192
649.897398,0.8971968385743043
649.957663,0.8993796779677823
650.017928,0.8971968385743043
650.078193,0.8929006129394214
650.138458,0.8885983014252438
650.198723,0.8929006129394214
650.258988,0.9036980408476025
650.319253,0.9102563644234322
650.379518,0.8993796779677823
650.439783,0.8779461673850648
650.500048,0.8716302240486337
650.560313,0.8779461673850648
650.620578,0.8843167199722809
650.680843,0.8821969046402571
650.741108,0.8843167199722809
650.801373,0.8907334985603319
650.861638,0.8907334985603319
650.921903,0.8843167199722809
650.982168,0.8864416289710567
651.042433,0.8993796779677823
651.102698,0.9102563644234322
651.162963,0.9059021327691267
651.223227,0.8929006129394214
651.283492,0.8843167199722809
651.343757,0.8821969046402571
651.404022,0.8864416289710567
651.464287,0.8971968385743043
651.524552,0.9102563644234322
651.584817,0.9102563644234322
651.645082,0.8993796779677823
651.705347,0.8907334985603319
651.765612,0.8929006129394214
651.825877,0.8950461480227192
651.886142,0.8885983014252438
651.946407,0.8843167199722809
652.006672,0.8907334985603319
652.066937,0.9015407814817923
652.127202,0.9036980408476025
652.187467,0.9015407814817923
652.247732,0.9059021327691267
652.307997,0.9124737144706087
652.368262,0.9102563644234322
652.428527,0.8993796779677823
652.488792,0.8993796779677823
652.549057,0.9124737144706087
652.609322,0.9190920485492667
652.669587,0.9124737144706087
652.729852,0.9036980408476025
652.790117,0.9015407814817923
652.850382,0.9059021327691267
652.910647,0.9102563644234322
652.970912,0.9080770928183647
653.031177,0.9059021327691267
653.091442,0.9102563644234322
653.151707,0.9190920485492667
653.211972,0.9302415456988831
653.272237,0.9369887530163612
653.332502,0.9324749416970268
653.392767,0.9212986759705495
653.453032,0.9168907062811089
653.513296,0.9212986759705495
653.573561,0.9257593123405123
653.633826,0.9190920485492667
653.694091,0.9168907062811089
653.754356,0.9257593123405123
653.814621,0.9415253557695866
653.874886,0.9415253557695866
653.935151,0.9302415456988831
653.995416,0.9235420011281996
654.055681,0.9279819470454289
654.115946,0.9324749416970268
654.176211,0.9302415456988831
654.236476,0.9257593123405123
654.296741,0.9279819470454289
654.357006,0.9347454806114387
654.417271,0.9392383482327522
654.477536,0.9369887530163612
654.537801,0.9369887530163612
654.598066,0.9392383482327522
654.658331,0.9506322399577007
654.718596,0.959859844971395
654.778861,0.959859844971395
654.839126,0.9483553549225233
654.899391,0.9392383482327522
654.959656,0.9460517570098231
655.019921,0.959859844971395
655.080186,0.9621633887140286
655.140451,0.9552349001531553
655.200716,0.9483553549225233
655.260981,0.9529469911618352
655.321246,0.9575283021336983
655.381511,0.9506322399577007
655.441776,0.9506322399577007
655.502041,0.959859844971395
655.562306,0.9691498840023008
655.622571,0.959859844971395
655.682836,0.9460517570098231
655.743101,0.9460517570098231
655.803365,0.959859844971395
655.86363,0.9668151113498319
655.923895,0.959859844971395
655.98416,0.9529469911618352
656.044425,0.9529469911618352
656.10469,0.9575283021336983
656.164955,0.9644734251468777
656.22522,0.9738324623914856
656.285485,0.9785406009071705
656.34575,0.9761832051399714
656.406015,0.9691498840023008
656.46628,0.9691498840023008
656.526545,0.9761832051399714
656.58681,0.983267568543696
656.647075,0.9808997659689284
656.70734,0.9761832051399714
656.767605,0.9738324623914856
656.82787,0.9785406009071705
656.888135,0.983267568543696
656.9484,0.9856420724195097
657.008665,0.9880183584300186
657.06893,0.9880183584300186
657.129195,0.9856420724195097
657.18946,0.9856420724195097
657.249725,0.983267568543696
657.30999,0.9785406009071705
657.370255,0.9738324623914856
657.43052,0.9738324623914856
657.490785,0.9808997659689284
657.55105,0.9856420724195097
657.611315,0.9904037407991727
657.67158,0.9856420724195097
657.731845,0.9808997659689284
657.79211,0.9761832051399714
657.852375,0.9785406009071705
657.91264,0.9856420724195097
657.972905,0.9856420724195097
658.03317,0.983267568543696
658.093434,0.9738324623914856
658.153699,0.9714864089700184
658.213964,0.9808997659689284
658.274229,0.9880183584300186
658.334494,0.9856420724195097
658.394759,0.9785406009071705
658.455024,0.9738324623914856
658.515289,0.983267568543696
658.575554,0.9927949814997631
658.635819,0.9880183584300186
658.696084,0.9808997659689284
658.756349,0.983267568543696
658.816614,0.9927949814997631
658.876879,1.0
658.937144,0.9927949814997631
658.997409,0.9856420724195097
659.057674,0.9856420724195097
659.117939,0.9856420724195097
659.178204,0.9880183584300186
659.238469,0.9904037407991727
659.298734,0.9904037407991727
659.358999,0.9856420724195097
659.419264,0.9785406009071705
659.479529,0.9808997659689284
659.539794,0.9880183584300186
659.600059,0.9951919956358249
659.660324,0.9904037407991727
659.720589,0.9856420724195097
659.780854,0.9927949814997631
659.841119,1.0
659.901384,0.9975924029221586
659.961649,0.9904037407991727
660.021914,1.0
660.082179,1.0
660.142444,1.0
660.202709,1.0
660.262974,1.0
660.323239,1.0
660.383503,1.0
660.443768,1.0
660.504033,1.0
660.564298,1.0
660.624563,1.0
660.684828,1.0
660.745093,1.0
660.805358,1.0
660.865623,1.0
660.925888,1.0
660.986153,1.0
661.046418,1.0
661.106683,1.0
661.166948,1.0
661.227213,1.0
661.287478,1.0
661.347743,1.0
661.408008,1.0
661.468273,1.0
661.528538,1.0
661.588803,1.0
661.649068,1.0
661.709333,1.0
661.769598,1.0
661.829863,1.0
661.890128,1.0
661.950393,1.0
662.010658,1.0
662.070923,1.0
662.131188,1.0
662.191453,1.0
662.251718,1.0
662.311983,1.0
662.372248,1.0
662.432513,1.0
662.492778,1.0
662.553043,1.0
662.613307,1.0
662.673572,1.0
662.733837,1.0
662.794102,1.0
662.854367,1.0
662.914632,1.0
662.974897,1.0
663.035162,1.0
663.095427,1.0
663.155692,1.0
663.215957,1.0
663.276222,1.0
663.336487,1.0
663.396752,1.0
663.457017,1.0
663.517282,1.0
663.577547,1.0
663.637812,1.0
663.698077,1.0
663.758342,1.0
663.818607,1.0
663.878872,1.0
663.939137,1.0
663.999402,1.0
664.059667,1.0
664.119932,1.0
664.180197,1.0
664.240462,1.0
664.300727,1.0
664.360992,1.0
664.421257,1.0
664.481522,1.0
664.541787,1.0
664.602052,1.0
664.662317,1.0
664.722582,1.0
664.782847,1.0
664.843112,1.0
664.903376,1.0
664.963641,1.0
665.023906,1.0
665.084171,1.0
665.144436,1.0
665.204701,1.0
665.264966,1.0
665.325231,1.0
665.385496,1.0
665.445761,1.0
665.506026,1.0
665.566291,1.0
665.626556,1.0
665.686821,1.0
665.747086,1.0
665.807351,1.0
665.867616,1.0
665.927881,1.0
665.988146,1.0
666.048411,1.0
666.108676,1.0
666.168941,1.0
666.229206,1.0
666.289471,1.0
666.349736,1.0
666.410001,1.0
666.470266,1.0
666.530531,1.0
666.590796,1.0
666.651061,1.0
666.711326,1.0
666.771591,1.0
666.831856,1.0
666.892121,1.0
666.952386,1.0
667.012651,1.0
667.072916,1.0
667.133181,1.0
667.193445,1.0
667.25371,1.0
667.313975,1.0
667.37424,1.0
667.434505,1.0
667.49477,1.0
667.555035,1.0
667.6153,1.0
667.675565,1.0
667.73583,1.0
667.796095,1.0
667.85636,1.0
667.916625,1.0
667.97689,1.0
668.037155,1.0
668.09742,1.0
668.157685,1.0
668.21795,1.0
668.278215,1.0
668.33848,1.0
668.398745,1.0
668.45901,1.0
668.519275,1.0
668.57954,1.0
668.639805,1.0
668.70007,1.0
668.760335,1.0
668.8206,1.0
668.880865,1.0
668.94113,1.0
669.001395,1.0
669.06166,1.0
669.121925,1.0
669.18219,1.0
669.242455,1.0
669.30272,1.0
669.362985,1.0
669.42325,1.0
669.483514,1.0
669.543779,1.0
669.604044,1.0
669.664309,1.0
669.724574,1.0
669.784839,1.0
669.845104,1.0
669.905369,1.0
669.965634,1.0
670.025899,0.9808997659689284
670.086164,0.983267568543696
670.146429,0.9808997659689284
670.206694,0.9785406009071705
670.266959,0.9761832051399714
670.327224,0.9808997659689284
670.387489,0.9856420724195097
670.447754,0.9880183584300186
670.508019,0.9856420724195097
670.568284,0.9738324623914856
670.628549,0.9738324623914856
670.688814,0.983267568543696
670.749079,0.9951919956358249
670.809344,0.9975924029221586
670.869609,0.9927949814997631
670.929874,0.9856420724195097
670.990139,0.9856420724195097
671.050404,0.9808997659689284
671.110669,0.9808997659689284
671.170934,0.983267568543696
671.231199,0.9856420724195097
671.291464,0.9856420724195097
671.351729,0.9808997659689284
671.411994,0.9691498840023008
671.472259,0.9621633887140286
671.532524,0.9644734251468777
671.592789,0.9738324623914856
671.653054,0.9808997659689284
671.713318,0.9808997659689284
671.773583,0.9761832051399714
671.833848,0.9738324623914856
671.894113,0.9738324623914856
671.954378,0.9691498840023008
672.014643,0.959859844971395
672.074908,0.959859844971395
672.135173,0.9644734251468777
672.195438,0.9738324623914856
672.255703,0.9738324623914856
672.315968,0.9738324623914856
672.376233,0.9738324623914856
672.436498,0.9668151113498319
672.496763,0.959859844971395
672.557028,0.959859844971395
672.617293,0.9644734251468777
672.677558,0.9668151113498319
672.737823,0.9575283021336983
672.798088,0.9529469911618352
672.858353,0.9575283021336983
672.918618,0.9644734251468777
672.978883,0.9621633887140286
673.039148,0.9529469911618352
673.099413,0.9552349001531553
673.159678,0.9621633887140286
673.219943,0.959859844971395
673.280208,0.9529469911618352
673.340473,0.9529469911618352
673.400738,0.9575283021336983
673.461003,0.9575283021336983
673.521268,0.9483553549225233
673.581533,0.9437858428134617
673.641798,0.9437858428134617
673.702063,0.9483553549225233
673.762328,0.9506322399577007
673.822593,0.9506322399577007
673.882858,0.9483553549225233
673.943123,0.9415253557695866
674.003387,0.9392383482327522
674.063652,0.9415253557695866
674.123917,0.9392383482327522
674.184182,0.9324749416970268
674.244447,0.9324749416970268
674.304712,0.9437858428134617
674.364977,0.9483553549225233
674.425242,0.9415253557695866
674.485507,0.9392383482327522
674.545772,0.9506322399577007
674.606037,0.9552349001531553
674.666302,0.9347454806114387
674.726567,0.9190920485492667
674.786832,0.9347454806114387
674.847097,0.9668151113498319
674.907362,0.9644734251468777
674.967627,0.9369887530163612
675.027892,0.9279819470454289
675.088157,0.9506322399577007
675.148422,0.959859844971395
675.208687,0.9235420011281996
675.268952,0.8864416289710567
675.329217,0.8907334985603319
675.389482,0.9235420011281996
675.449747,0.9347454806114387
675.510012,0.9257593123405123
675.570277,0.9168907062811089
675.630542,0.9190920485492667
675.690807,0.9102563644234322
675.751072,0.8950461480227192
675.811337,0.8950461480227192
675.871602,0.9102563644234322
675.931867,0.9168907062811089
675.992132,0.9080770928183647
676.052397,0.8993796779677823
