nu,[0]4-Methylvalericacid-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
500,0.9061648824844971
500.136003,0.5557982001411754
500.272005,0.4756847186416878
500.408008,0.825356388389374
500.544011,0.88912272911404
500.680014,0.5594058727318936
500.816016,0.5314745317680799
500.952019,0.8199597707404048
501.088022,0.6799200916476239
501.224024,0.646068334392878
501.360027,0.6740371843047491
501.49603,0.5309486323447968
501.632033,0.8812887096292004
501.768035,0.34390149993822394
501.904038,0.4102986376150607
502.040041,0.4144719411263551
502.176044,0.2720688825712324
502.312046,0.5234257984387632
502.448049,0.6466177259354396
502.584052,0.681172296291239
502.720054,0.4646689790069901
502.856057,0.3184467525159272
502.99206,0.43478657520726877
503.128063,0.7981410043188607
503.264065,0.6126202679511055
503.400068,0.6686262798368795
503.536071,0.9044393771474409
503.672073,0.7395303177781957
503.808076,0.5201645890936334
503.944079,0.6867534021725653
504.080082,0.6101929868283786
504.216084,0.7965383521052274
504.352087,0.5292258503268622
504.48809,0.7173868816602913
504.624092,0.8626467496739993
504.760095,0.9691285629393854
504.896098,0.5029723905256105
505.032101,0.485847738226151
505.168103,0.4569414566063182
505.304106,0.7037303653169065
505.440109,0.6313278369087925
505.576112,0.839121305108508
505.712114,0.6682452714550771
505.848117,0.8928827551057416
505.98412,0.4439958781672935
506.120122,0.5595457416829669
506.256125,0.9497428644737583
506.392128,0.4533866434447454
506.528131,0.4863824647838883
506.664133,0.8988222353924974
506.800136,0.5905801028276422
506.936139,0.6513097131892448
507.072141,0.500834285539048
507.208144,0.455281213180436
507.344147,0.7960128102407305
507.48015,0.5594002787011364
507.616152,0.8016445290358243
507.752155,0.49995359243376813
507.888158,0.7129599722824879
508.02416,0.6732759524634765
508.160163,0.5837689546696612
508.296166,0.49749986188580525
508.432169,0.44523190398844825
508.568171,0.8805575434761367
508.704174,0.8373526257676285
508.840177,0.8185915806799476
508.97618,0.7574028504912027
509.112182,0.9848085718466976
509.248185,0.6521895750751943
509.384188,0.6537763228603872
509.52019,0.8990919225141607
509.656193,0.6282230502603787
509.792196,0.693045240372643
509.928199,0.8356127424120076
510.064201,0.7633871281699657
510.200204,0.707024471875015
510.336207,0.7312791631503924
510.472209,0.7810079109003195
510.608212,0.5635157475105845
510.744215,0.8097983604676847
510.880218,0.5760101482222745
511.01622,1.0
511.152223,0.6715612859136805
511.288226,0.44514286651169505
511.424228,0.6984092709421237
511.560231,0.5532584648179595
511.696234,0.7315936808069972
511.832237,0.7462459809137842
