nu,[0]HFE-338mec3-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
670.387768,1.0
670.628822,1.0
670.869876,1.0
671.11093,1.0
671.351984,1.0
671.593038,1.0
671.834092,1.0
672.075146,1.0
672.3162,1.0
672.557254,1.0
672.798308,1.0
673.039362,1.0
673.280416,1.0
673.52147,1.0
673.762524,1.0
674.003578,1.0
674.244632,1.0
674.485686,1.0
674.72674,1.0
674.967794,1.0
675.208848,1.0
675.449902,1.0
675.690956,1.0
675.93201,1.0
676.173064,1.0
676.414118,1.0
676.655172,1.0
676.896226,1.0
677.13728,1.0
677.378334,1.0
677.619388,1.0
677.860442,1.0
678.101496,1.0
678.34255,1.0
678.583604,1.0
678.824658,1.0
679.065712,1.0
679.306766,1.0
679.54782,1.0
679.788874,1.0
680.029928,0.9896717069394947
680.270982,0.9716875274717219
680.512036,0.966151137469477
680.75309,1.0
680.994144,0.9739210851778388
681.235198,0.9453387028402415
681.476252,0.9496554921494152
681.717306,0.9739016069509182
681.95836,0.976131468801124
682.199414,0.9474804267713863
682.440468,0.9839865999102474
682.681522,0.9783615443613782
682.922576,0.9761109702555146
683.16363,0.9727550263265087
683.404684,0.9573119251889319
683.645738,0.9828379744893798
683.886792,0.9561953937950207
684.127846,0.9727472443174262
684.3689,0.9907255752537344
684.609954,0.9749354649205597
684.851008,0.9123067470588446
685.092062,0.933456421503553
685.333116,0.9561906128300042
685.57417,0.9561628837043064
685.815224,0.9463412931442374
686.056278,0.9638332273617666
686.297332,0.9474415808702351
686.538386,0.9638698537203028
686.77944,0.966041002517617
687.020494,0.960506048070013
687.261548,0.9571989690463031
687.502602,0.9474340013679061
687.743656,0.957192268676971
687.98471,0.930194104589811
688.225764,0.9495415403276034
688.466818,0.9517308545226315
688.707872,0.9355141572793298
688.948926,0.9462627500764889
689.18998,0.9344379999316629
689.431034,0.9312234684027463
689.672088,0.9216810942673853
689.913142,0.93978232470237
690.154196,0.9163810567441172
690.39525,0.9059818556645663
690.636304,0.8946345214759929
690.877358,0.9090610730390014
691.118412,0.9069771700696982
691.359466,0.8874793726386178
691.60052,0.8854670792797859
691.841574,0.8935794753402918
692.082628,0.8803638421245019
692.323682,0.8663641173101732
692.564736,0.8643478387934935
692.80579,0.860389573381976
693.046844,0.839969245764617
693.287898,0.8564151774836135
693.528952,0.8256370572724328
693.770006,0.8134018590351555
694.01106,0.8050185164716299
694.252114,0.7743665025190148
694.493168,0.7770271400074371
694.734222,0.7673363860741058
694.975276,0.762059989512419
695.21633,0.7345920263985148
695.457384,0.7346875295695182
695.698438,0.7090281850472654
695.939492,0.692969009588972
696.180546,0.6703937852962882
696.4216,0.6635108982162544
696.662654,0.6433734050812828
696.903708,0.6314920034871191
697.144762,0.6011805341224581
697.385816,0.5889523490773112
697.62687,0.5883695747726037
697.867924,0.5843179554770054
698.108978,0.5741698617766536
698.350032,0.547802751142409
698.591086,0.5542607694513357
698.83214,0.5403382211646137
699.073194,0.5270551958325798
699.314248,0.5330127147687376
699.555302,0.5213519173966819
699.796356,0.5161643791433949
700.03741,0.4942617716585316
700.278464,0.505675560562781
700.519518,0.49661509980350843
700.760572,0.48301865639448194
701.001626,0.47524728994858956
701.24268,0.459204332102572
701.483734,0.4322721120630592
701.724788,0.45094946353685994
701.965842,0.41997083944833746
702.206896,0.42531296194761803
702.44795,0.4248538719019628
702.689004,0.4090000502821913
702.930058,0.4031002454311445
703.171112,0.40214602904253793
703.412166,0.389909740990878
703.65322,0.3806747282953489
703.894274,0.3749509730845279
704.135328,0.36867860633939253
704.376382,0.368571705044991
704.617436,0.36425540329063605
704.85849,0.36472924324415124
705.099544,0.3701636773296227
705.340598,0.3800623350916044
705.581652,0.37447508759995624
705.822706,0.3839856872022
706.06376,0.3787306547616146
706.304814,0.3810060594171051
706.545868,0.39114380456595255
706.786922,0.3630916490000412
707.027976,0.3911711855905968
707.26903,0.36556908595249676
707.510084,0.3524663930993807
707.751138,0.3358468589000711
707.992192,0.3188928901929543
708.233246,0.33581327589335946
708.4743,0.3642189795715233
708.715354,0.38216608017591597
708.956408,0.3765253136018633
709.197462,0.375810594703984
709.438516,0.3817421111732482
709.67957,0.3756527873960628
709.920624,0.3614614073742308
710.161678,0.36803030266681586
710.402732,0.3629827378428315
710.643786,0.36131685172433853
710.88484,0.35926320412541457
711.125894,0.36135298521615544
711.366948,0.3717402207399951
711.608002,0.3768756450223734
711.849056,0.3835366866647076
712.09011,0.3973213022720652
712.331164,0.3950472108831275
712.572218,0.41167955968735753
712.813272,0.4149488580333117
713.054326,0.40689911457618444
713.29538,0.3970115124900143
713.536434,0.3840740140674566
713.777488,0.3909834684772247
714.018542,0.3982800013789463
714.259596,0.43470832066685133
714.50065,0.4663494654742568
714.741704,0.4816151152471871
714.982758,0.5100635261206311
715.223812,0.5061258121439152
715.464866,0.5113402802135729
715.70592,0.5303808211413557
715.946974,0.5154164831492702
716.188028,0.5224479068093221
716.429082,0.5272238804833509
716.670136,0.5201645890936334
716.91119,0.5297288537734798
717.152244,0.5389513348484907
717.393298,0.5382888322292628
717.634352,0.5597640070812093
717.875406,0.5731602115727306
718.11646,0.5830688520696299
718.357514,0.6049133828765605
718.598568,0.6261533311093883
718.839622,0.6523200260348705
719.080676,0.6744012626765871
719.32173,0.6768199460569863
719.562784,0.7021206665888261
719.803838,0.7177671974823615
720.044892,0.7495591839354874
720.285946,0.7633794943368531
720.527,0.7784192641674649
720.768054,0.7909583242685877
721.009108,0.8176343885971122
721.250162,0.8317694333035133
721.491216,0.8532011026635447
721.73227,0.8707764448492046
721.973324,0.8738032876479285
722.214378,0.8899588974169398
722.455432,0.903318567365456
722.696486,0.8879853800794423
722.93754,0.9004235637309131
723.178594,0.9265104076708094
723.419648,0.9034811793422207
723.660702,0.9171676490906652
723.901756,0.9640963897528683
724.14281,0.9499100339283862
724.383864,0.9202094240564165
724.624918,0.944809461368094
724.865972,0.9510201770453879
725.107026,0.9414726318259478
725.34808,0.9556839660784532
725.589134,0.9731724277590085
725.830188,0.96314048034369
726.071242,0.9620181130109244
726.312296,0.9999021247900909
726.55335,0.9821168361062678
726.794404,0.9544967888920929
727.035458,0.9775566840558141
727.276512,0.9803986542334708
727.517566,0.9744831997984591
727.75862,0.9933674928171287
727.999674,0.9956214140816413
728.240728,0.9717419434968948
728.481782,0.9674824439799442
728.722836,0.9612180468145891
728.96389,0.9990088615025521
729.204944,0.9968888496894814
729.445998,1.0
729.687052,0.9968817718037752
729.928106,0.9768892407984227
730.16916,1.0
730.410214,0.9909820082136038
730.651268,0.9853148935661614
730.892322,1.0
731.133376,0.9912801404385131
731.37443,0.9935061765990287
731.615484,0.9946177365630557
731.856538,1.0
732.097592,0.9932667704600668
732.338646,1.0
732.5797,1.0
732.820754,0.9898953980214031
733.061808,1.0
733.302862,1.0
733.543916,0.9997634779757453
733.78497,0.9999314023529262
734.026024,1.0
734.267078,0.9979316420065285
734.508132,0.9945775548181753
734.749186,1.0
734.99024,0.9923444541125859
735.231294,0.9997055033726474
735.472348,0.9999535090807363
735.713402,1.0
735.954456,0.9764721981375464
736.19551,0.9999526181225566
736.436564,1.0
736.677618,0.9999775292524711
736.918672,0.9994650831190749
737.159726,0.9831653140338941
737.40078,1.0
737.641834,0.9944599032526676
737.882888,0.9998983551661862
738.123942,0.9999763892787374
738.364996,0.9798262685722796
738.60605,1.0
738.847104,0.999710701854781
739.088158,0.9930059728503688
739.329212,0.9821904976312483
739.570266,1.0
739.81132,0.9754045216782933
740.052374,1.0
740.293428,0.9950692960273494
740.534482,0.9864190644672374
740.775536,0.9707211792198686
741.01659,1.0
741.257644,0.9793795696489055
741.498698,0.9864289287072032
741.739752,0.9675105013776499
741.980806,0.9752426179660746
742.22186,0.9810341584425404
742.462914,0.9629276498161736
742.703968,0.9806653589376179
742.945022,0.9675753267528681
743.186076,0.973550091923089
743.42713,0.9443135665846465
743.668184,0.9660603235308769
743.909238,0.9691944659223413
744.150292,0.934757632381673
744.391346,0.9543173603625914
744.6324,0.9537325430854976
744.873454,0.9252512099649014
745.114508,0.9562020871862041
745.355562,0.9216497576429059
745.596616,0.9082632677046663
745.83767,0.9214009457994526
746.078724,0.9388326848959053
746.319778,0.8908671186063689
746.560832,0.9148098952928136
746.801886,0.8978430529073212
747.04294,0.8890604927013019
747.283994,0.8910007586969161
747.525048,0.8744501413871533
747.766102,0.8857061876693714
748.007156,0.8822057266534136
748.24821,0.8577522277885721
748.489264,0.8685501080773352
748.730318,0.8652645332648512
748.971372,0.8451171687457247
749.212426,0.8500245904288013
749.45348,0.850772941294466
749.694534,0.8485807762148728
749.935588,0.8270666456188824
750.176642,0.8430828886611578
750.417696,0.8194597478027541
750.65875,0.8251253209515759
750.899804,0.8256618267556912
751.140858,0.8245149540776682
751.381912,0.8127595253217412
751.622966,0.7383997015339768
751.86402,0.8350196679312497
752.105074,0.8326265971834337
752.346128,0.8294769147984232
752.587182,0.7959332129396377
752.828236,0.8261738958132844
753.06929,0.8190091688620296
753.310344,0.8194679424412052
753.551398,0.8054452893701879
753.792452,0.8044552006936241
754.033506,0.8091507808456969
754.27456,0.8103411071690397
754.515614,0.8289296406549895
754.756668,0.8361226216822457
754.997722,0.8071385017285861
755.238776,0.818386958363633
755.47983,0.82477059333547
755.720884,0.824886069301666
755.961938,0.8468429674861743
756.202992,0.8428468584980976
756.444046,0.8184196944966857
756.6851,0.8285981351042578
756.926154,0.8480124175162342
757.167208,0.8494212871675983
757.408262,0.8520074568668355
757.649316,0.8554394204684553
757.89037,0.8412722076301341
758.131424,0.8644342778992561
758.372478,0.8503306543695596
758.613532,0.8782798503244144
758.854586,0.8740042855179564
759.09564,0.8832826744445058
759.336694,0.8925970783348288
759.577748,0.8873107675758046
759.818802,0.9016850395471668
760.059856,0.9031017969227819
760.30091,0.9073854016414443
760.541964,0.9259194825558714
760.783018,0.9205738991496484
761.024072,0.9240020395848295
761.265126,0.9319762010282437
761.50618,0.9462107070564308
761.747234,0.9344277211701969
761.988288,0.9385201056591663
762.229342,0.9509631175465673
762.470396,0.9313762015753422
762.71145,0.941845528816882
762.952504,0.9561284624600791
763.193558,0.9552692892285605
763.434612,0.9735841667726126
763.675666,0.9551260095814184
763.91672,0.9585869557059346
764.157774,0.9770738903137631
764.398828,0.9741305007225164
764.639882,0.9760973047975895
764.880936,0.9782206704421558
765.12199,0.9860926137874668
765.363044,0.9881952295456702
765.604098,0.986313523273894
765.845152,1.0
766.086206,0.9882614408441035
766.32726,0.9836235758369412
766.568314,0.979585260955363
766.809368,0.9706862338864365
767.050422,1.0
767.291476,0.9841135423692484
767.53253,0.9930250387480796
767.773584,0.989286799514843
768.014638,0.9996259599704203
768.255692,0.9982660051092933
768.496746,0.9847524393578935
768.7378,0.990525072688847
768.978854,0.988629142488363
769.219908,0.9999856621027886
769.460962,0.9714893234336169
769.702016,0.9908065208398148
769.94307,1.0
770.184124,0.9814639455204373
770.425178,0.9961879842497159
770.666232,0.9995863555744545
770.907286,0.9918880806376408
771.14834,0.9984756629836726
771.389394,0.9995589372967645
771.630448,0.9918199402671495
771.871502,0.9880430591977377
772.112556,1.0
772.35361,0.9961967507425498
772.594664,0.9970410862397938
772.835718,0.9760260522950873
773.076772,0.9984289354160786
773.317826,0.9849188765836944
773.55888,0.9779624542711933
773.799934,0.9861281137605589
774.040988,0.9940366517673235
774.282042,0.9862464562346165
774.523096,0.9893827649886462
774.76415,0.98615572573431
775.005204,0.9779810357343478
775.246258,0.9844216181193497
775.487312,0.9849316806123161
775.728366,0.9881023435598026
775.96942,0.9892739388700437
776.210474,0.9767134165597351
776.451528,0.9767495556247164
776.692582,0.9868255528526554
776.933636,0.9789830012337224
777.17469,0.9794138485337203
777.415744,0.9843802732796364
777.656798,0.9657831040009289
777.897852,0.9736357681008747
778.138906,0.971099834312708
778.37996,0.9766303994476048
778.621014,0.9690442524219703
778.862068,0.9808399329081312
779.103122,0.9550677486718097
779.344176,0.9570573140816102
779.58523,0.9570582711394028
779.826284,0.9472416917857115
780.067338,0.9648930623512915
780.308392,0.9434650101715449
780.549446,0.9558139479364058
780.7905,0.9513816333850201
781.031554,0.9460091856386207
781.272608,0.9462731590239888
781.513662,0.9460101316482793
781.754716,0.9536238237727044
781.99577,0.9575637313363136
782.236824,0.9440624125808984
782.477878,0.9521125751251608
782.718932,0.9510363445258209
782.959986,0.9446885334965878
783.20104,0.9386477530733633
783.442094,0.9321206685353457
783.683148,0.9389988729883442
783.924202,0.9328078946797839
784.165256,0.9229898881097706
784.40631,0.9170796052225257
784.647364,0.9214433312178166
784.888418,0.9256380458137267
785.129472,0.9196409103211879
785.370526,0.9325038488682782
785.61158,0.9148135545397132
785.852634,0.9162775115351196
786.093688,0.908712969314146
786.334742,0.9150788889421586
786.575796,0.8987233703842794
786.81685,0.8933918433525185
787.057904,0.894437723529836
787.298958,0.8901636115045632
787.540012,0.9097413050967081
787.781066,0.8978610099479492
788.02212,0.8830707120391452
788.263174,0.8714123437287963
788.504228,0.876454926814136
788.745282,0.8805311271460794
788.986336,0.877990065790885
789.22739,0.8665460728794744
789.468444,0.8690279420290691
789.709498,0.862681256234113
789.950552,0.847351225728891
790.191606,0.8534314980632431
790.43266,0.8148998962273508
790.673714,0.8329930334962713
790.914768,0.8256288009431417
791.155822,0.8266036179571816
791.396876,0.8235261295461528
791.63793,0.8091993313490482
791.878984,0.8053244816375889
792.120038,0.7938267821788064
792.361092,0.7860302510127283
792.602146,0.7650607779582601
792.8432,0.7604005082270928
793.084254,0.7598912105203645
793.325308,0.7395007371571009
793.566362,0.7332929485348555
793.807416,0.7128886798499408
794.04847,0.7109167106449986
794.289524,0.6995556018809076
794.530578,0.6684524596017316
794.771632,0.6571059566899596
795.012686,0.6490341138149947
795.25374,0.6363541697250871
795.494794,0.6143134353868893
795.735848,0.605766912343282
795.976902,0.5948297790482511
796.217956,0.5718491763964391
796.45901,0.5706780863622369
796.700064,0.5455886366086301
796.941118,0.5349403679896695
797.182172,0.5236142656482635
797.423226,0.5052913931388656
797.66428,0.4896717550527001
797.905334,0.4857311487602723
798.146388,0.47001061473053796
798.387442,0.4583739240075007
798.628496,0.4444267631145302
798.86955,0.438717316186073
799.110604,0.4223715086405825
799.351658,0.41492811110908745
799.592712,0.39873828684416773
799.833766,0.39659486917791775
800.07482,0.38820955303911486
800.315874,0.3844198362767685
800.556928,0.3775244289260222
800.797982,0.3638913299543531
801.039036,0.36352762050943027
801.28009,0.3578290215862342
801.521144,0.3511646771045441
801.762198,0.3456944453558867
802.003252,0.340105301169467
802.244306,0.344969248743592
802.48536,0.3387137241169968
802.726414,0.33827368236475613
802.967468,0.33874759718303354
803.208522,0.3517269903185224
803.449576,0.3448657734910329
803.69063,0.34208364356324183
803.931684,0.3423916574278969
804.172738,0.34833173213622864
804.413792,0.34833173213622864
804.654846,0.3332374433510153
804.8959,0.34263141549362935
805.136954,0.3383751796933037
805.378008,0.34493475354350644
805.619062,0.3584020062862955
805.860116,0.36578849321966617
806.10117,0.37983056776342033
806.342224,0.3941120575877114
806.583278,0.4022304885765775
806.824332,0.41396245403756293
807.065386,0.43454316288696354
807.30644,0.4359838838338965
807.547494,0.45359524927639283
807.788548,0.45441245599048724
808.029602,0.4693765285051557
808.270656,0.47121067121984417
808.51171,0.4846782549703888
808.752764,0.5040801478710514
808.993818,0.5028567201783894
809.234872,0.5262915195976953
809.475926,0.5419670894272456
809.71698,0.5616816773324038
809.958034,0.5644293828663778
810.199088,0.5844815874119407
810.440142,0.6021130864917293
810.681196,0.6342640047134815
810.92225,0.6432061497400983
811.163304,0.6605185966523429
811.404358,0.6863002944691214
811.645412,0.7063743084819091
811.886466,0.7203630197053014
812.12752,0.7486976863300289
812.368574,0.7415594094350105
812.609628,0.7804770060490143
812.850682,0.7845931310192332
813.091736,0.8117523281016743
813.33279,0.8186325112822381
813.573844,0.825422419541656
813.814898,0.8356378111703093
814.055952,0.8488014359012048
814.297006,0.8530475402860939
814.53806,0.8630695501589989
814.779114,0.8640972142625568
815.020168,0.8870357438687332
815.261222,0.8905642752723268
815.502276,0.9174171526221598
815.74333,0.8931953187654783
815.984384,0.9133281896993766
816.225438,0.926192669096259
816.466492,0.9290803992951834
816.707546,0.9309804507926709
816.9486,0.9252623130460393
817.189654,0.9314469888565445
817.430708,0.932031189246241
817.671762,0.9369091123571307
817.912816,0.9451014526019791
818.15387,0.9572717189324113
818.394924,0.9432923718715698
818.635978,0.9451118487751365
818.877032,0.952173512279937
819.118086,0.9616420374562993
819.35914,0.9618257286274019
819.600194,0.9504582901746791
819.841248,0.9537191909233598
820.082302,0.9669156653501296
820.323356,0.9539624203274762
820.56441,0.9618266904536114
820.805464,0.9624164709641175
821.046518,0.9561227257065147
821.287572,0.9769107325981291
821.528626,0.9645004307808589
821.76968,0.9587537643481584
822.010734,0.9781443722055312
822.251788,0.9755206017229987
822.492842,0.9766997426676207
822.733896,0.9594011416043373
822.97495,0.97892817972067
823.216004,0.9620171509932924
823.457058,0.9734576090573619
823.698112,0.9690025844149848
823.939166,0.9573597919818512
824.18022,0.9598137728045772
824.421274,0.9815355950036345
824.662328,0.9672783267193927
824.903382,0.964198589386667
825.144436,0.9601987353072952
825.38549,0.9843044789167142
825.626544,0.9617324360564878
825.867598,0.9710473963374932
826.108652,0.9913438818008061
826.349706,0.9668634533139384
826.59076,0.9729369485256273
826.831814,0.9730001914826553
827.072868,0.9701146680373439
827.313922,0.9903198571548495
827.554976,0.979891919131543
827.79603,0.9596938035812094
828.037084,0.9756015732932153
828.278138,0.9596285466213276
828.519192,0.966191716669408
828.760246,0.9726421932878976
829.0013,0.9990276530359709
829.242354,0.9798782007407042
829.483408,0.9804594408343985
829.724462,0.9805231727693182
829.965516,0.98934121178514
830.20657,0.976477080510743
830.447624,0.9719693577180992
830.688678,0.9628920221522462
830.929732,0.9682915974821492
831.170786,0.9698721696838918
831.41184,0.9793727140159127
831.652894,0.9729982454842183
831.893948,0.9672367346455798
832.135002,0.9756601111437309
832.376056,0.9706959407973098
832.61711,0.9838527868321552
832.858164,0.989590557186711
833.099218,0.9657608912449845
833.340272,0.9759157675823815
833.581326,0.972836741180696
833.82238,0.9913332744780202
834.063434,0.9891305045481472
834.304488,0.9772243712796084
834.545542,0.9877071816600275
834.786596,0.9728182574582095
835.02765,0.9791778382366068
835.268704,0.9764399750866911
835.509758,0.9714864089700184
835.750812,0.9737117146526636
835.991866,0.9798605630918302
836.23292,0.9730770615341094
836.473974,0.9893699030963038
836.715028,0.959511479079905
836.956082,0.9743185260530166
837.197136,0.9825814872510787
837.43819,0.9743769869183883
837.679244,0.9701990716849686
837.920298,0.9638949146622903
838.161352,0.9810841924604775
838.402406,0.9809370408682537
838.64346,0.9722697426567171
838.884514,0.9656160379755646
839.125568,0.9586406380785465
839.366622,0.9615468396069624
839.607676,0.9529698621640741
839.84873,0.958226594762692
840.089784,0.957111867903282
840.330838,0.9527611846152858
840.571892,0.9468761270512149
840.812946,0.9528002486246617
841.054,0.9485782446194437
841.295054,0.9457727129025346
841.536108,0.9452640240325688
841.777162,0.9220738140569193
842.018216,0.9302303828673119
842.25927,0.9464170034760618
842.500324,0.9279299815114429
842.741378,0.9288017169798323
842.982432,0.9060860495690024
843.223486,0.9320591506013366
843.46454,0.9024788716168504
843.705594,0.8996675255178838
843.946648,0.9029573121943608
844.187702,0.8892650001320762
844.428756,0.8922579558824083
844.66981,0.8850598580913711
844.910864,0.8687933361579391
845.151918,0.868993181606601
845.392972,0.8505857918345766
845.634026,0.8412974461749393
845.87508,0.8362396870436654
846.116134,0.8427794334464558
846.357188,0.8148510037003677
846.598242,0.8238720831657368
846.839296,0.8134913381609111
847.08035,0.7968012531377067
847.321404,0.782751501923059
847.562458,0.7839108318384261
847.803512,0.7770893046651909
848.044566,0.7793539279705881
848.28562,0.7557912993309294
848.526674,0.7578574285612811
848.767728,0.7391828201971683
849.008782,0.7329190644796407
849.249836,0.7185140636708437
849.49089,0.7073285577717037
849.731944,0.7031816696510879
849.972998,0.6852030919940207
850.214052,0.6787787848597929
850.455106,0.6693420928479713
850.69616,0.6559242298411478
850.937214,0.6458680842495922
851.178268,0.6476660956016063
851.419322,0.6362141872063891
851.660376,0.620729425330119
851.90143,0.6068036599299461
852.142484,0.6059789678701546
852.383538,0.5917091887578547
852.624592,0.5926566812517307
852.865646,0.5878520372966916
853.1067,0.5742559937156542
853.347754,0.5693727287493862
853.588808,0.5497619019674455
853.829862,0.5472169156765544
854.070916,0.5320913999392987
854.31197,0.5441828321936748
854.553024,0.5320807582177175
854.794078,0.5289507244236266
855.035132,0.5203779003009712
855.276186,0.5231327620494846
855.51724,0.5116267109636171
855.758294,0.5171977409190034
855.999348,0.5147417296164042
856.240402,0.5085051173122052
856.481456,0.5146542309599659
856.72251,0.5105227899318544
856.963564,0.5100890299345272
857.204618,0.5098850351242354
857.445672,0.5147674673463228
857.686726,0.5056654471527041
857.92778,0.5078597257236234
858.168834,0.5121744445295476
858.409888,0.5073977835887641
858.650942,0.5084186787897447
858.891996,0.5075601768610504
859.13305,0.5031836832980074
859.374104,0.5029723905256105
859.615158,0.5122563989968548
859.856212,0.5023842569539263
860.097266,0.4853330124764741
860.33832,0.5185338339094013
860.579374,0.5209141656675347
860.820428,0.5225210546365038
861.061482,0.5259232444453181
861.302536,0.5247045167889263
861.54359,0.5260021388489172
861.784644,0.5352239615303538
862.025698,0.546445883530854
862.266752,0.5523242476482769
862.507806,0.560183987559513
862.74886,0.5754977272515127
862.989914,0.5750490140451567
863.230968,0.5836405396258065
863.472022,0.5949309087064667
863.713076,0.610211292892573
863.95413,0.6160482442054569
864.195184,0.6182700146719246
864.436238,0.6257214343324464
864.677292,0.6275323848407152
864.918346,0.6439720206611078
865.1594,0.6531424672968604
865.400454,0.6626157628559795
865.641508,0.6595945176232828
865.882562,0.6750354979073606
866.123616,0.6755554754063952
866.36467,0.6800900929198094
866.605724,0.6878806018031824
866.846778,0.6908448569721276
867.087832,0.7022259925880668
867.328886,0.7260982084201194
867.56994,0.7296429310890075
867.810994,0.7290521596095749
868.052048,0.7344084013460032
868.293102,0.7412406074362954
868.534156,0.7418857673686421
868.77521,0.7504892138229298
869.016264,0.7545301811877906
869.257318,0.7549905850072036
869.498372,0.7648542394321671
869.739426,0.7651219852687565
869.98048,0.7601192120820447
870.221534,0.7669221362831357
870.462588,0.7671906060102963
